return_id,order_id,product_id,customer_id,return_date,return_reason,return_quantity,refund_amount
R000041,O000226,P0485,C05595,2026-12-09,Late Delivery,1,7563.26
R000042,O000229,P0089,C08435,2026-08-29,Product Defect,1,11938.58
R000043,O000229,P0361,C08435,2026-08-27,Late Delivery,1,3156.17
R000044,O000233,P0326,C07556,2025-07-24,Size Issue,1,308.9
R000045,O000241,P0103,C02321,2025-11-20,Changed Mind,2,3487.24
R000046,O000243,P0351,C04987,2025-08-25,Damaged During Delivery,1,2183.61
R000047,O000243,P0287,C04987,2025-08-27,Not as Expected,1,768.26
R000048,O000248,P0224,C07303,2026-11-16,Damaged During Delivery,1,1708.69
R000049,O000263,P0097,C09941,2027-01-02,Product Defect,1,29429.69
R000050,O000270,P0318,C07299,2026-07-19,Late Delivery,1,382.9
R000051,O000282,P0123,C04032,2025-06-05,Changed Mind,1,13243.99
R000052,O000290,P0199,C01686,2025-12-09,Product Defect,1,13621.08
R000053,O000299,P0249,C03174,2026-08-08,Changed Mind,2,6528.95
R000054,O000303,P0037,C04069,2025-12-03,Wrong Product,1,843.82
R000055,O000305,P0180,C06975,2026-04-13,Not as Expected,1,1895.12
R000056,O000305,P0152,C06975,2026-04-08,Not as Expected,3,7075.43
R000057,O000305,P0219,C06975,2026-04-20,Changed Mind,1,2073.05
R000058,O000311,P0370,C00594,2026-10-18,Not as Expected,1,869.73
R000059,O000324,P0049,C03153,2026-08-30,Not as Expected,1,6347.12
R000060,O000346,P0321,C03903,2025-11-27,Not as Expected,2,4866.8
R000061,O000346,P0387,C03903,2025-11-30,Changed Mind,3,1000.3
R000062,O000346,P0271,C03903,2025-12-03,Product Defect,1,1755.63
R000063,O000365,P0329,C05120,2025-05-25,Size Issue,1,1800.79
R000064,O000371,P0432,C06784,2025-05-26,Late Delivery,1,4388.11
R000065,O000387,P0204,C09658,2026-10-13,Size Issue,1,4081.48
R000066,O000400,P0337,C05981,2026-09-05,Damaged During Delivery,2,7893.79
R000067,O000407,P0481,C07366,2026-04-29,Changed Mind,2,19967.33
R000068,O000422,P0091,C00129,2025-04-17,Product Defect,2,21368.48
R000069,O000428,P0032,C02531,2025-05-12,Late Delivery,1,756.85
R000070,O000435,P0281,C04863,2025-07-04,Wrong Product,3,8923.5
R000071,O000437,P0293,C06335,2025-03-26,Damaged During Delivery,1,3255.69
R000072,O000481,P0204,C03213,2025-03-26,Damaged During Delivery,2,8813.28
R000073,O000510,P0148,C07113,2026-02-03,Damaged During Delivery,1,1470.1
R000074,O000510,P0460,C07113,2026-01-21,Wrong Product,1,4493.38
R000075,O000511,P0367,C01467,2025-09-14,Damaged During Delivery,3,3259.86
R000076,O000543,P0333,C00562,2025-10-16,Changed Mind,1,3604.0
R000077,O000556,P0374,C09243,2025-08-15,Late Delivery,1,3858.3
R000078,O000564,P0089,C05253,2025-10-23,Not as Expected,2,25144.27
R000079,O000565,P0420,C03699,2026-02-24,Wrong Product,1,1482.5
R000080,O000565,P0007,C03699,2026-02-19,Changed Mind,1,8994.18
R000081,O000578,P0267,C07706,2026-09-30,Size Issue,1,6308.52
R000082,O000587,P0458,C06714,2026-06-30,Wrong Product,2,17603.52
R000083,O000620,P0183,C02083,2026-12-19,Not as Expected,1,13945.42
R000084,O000654,P0073,C02618,2025-09-17,Not as Expected,1,28307.78
R000085,O000658,P0149,C02073,2025-10-17,Wrong Product,1,10317.45
R000086,O000659,P0219,C02707,2026-01-24,Changed Mind,1,2122.23
R000087,O000697,P0095,C02727,2026-03-28,Size Issue,2,11258.02
R000088,O000700,P0227,C06514,2025-12-15,Changed Mind,1,5531.04
R000089,O000700,P0164,C06514,2025-12-14,Size Issue,1,17394.47
R000090,O000723,P0145,C07227,2026-05-05,Wrong Product,1,14397.23
R000091,O000736,P0410,C04857,2025-06-24,Changed Mind,1,11107.08
R000092,O000750,P0422,C06997,2025-11-30,Size Issue,1,7853.06
R000093,O000750,P0244,C06997,2025-12-10,Product Defect,1,2116.88
R000094,O000761,P0470,C08714,2026-10-22,Not as Expected,1,4870.22
R000095,O000764,P0224,C03591,2026-02-12,Not as Expected,1,1826.66
R000096,O000797,P0011,C01890,2026-03-16,Not as Expected,1,22175.07
R000097,O000808,P0293,C09426,2025-09-17,Damaged During Delivery,1,3034.26
R000098,O000817,P0468,C07503,2025-09-03,Changed Mind,2,20677.27
R000099,O000819,P0436,C01327,2026-12-15,Changed Mind,3,19151.72
R000100,O000842,P0264,C00399,2026-11-30,Size Issue,1,2948.01
R000101,O000842,P0440,C00399,2026-12-08,Damaged During Delivery,2,7983.79
R000102,O000846,P0055,C08939,2025-11-30,Not as Expected,1,9666.03
R000103,O000853,P0075,C08780,2026-07-01,Changed Mind,2,52272.73
R000104,O000853,P0073,C08780,2026-06-18,Not as Expected,2,52264.88
R000105,O000853,P0308,C08780,2026-06-19,Size Issue,1,2344.57
R000106,O000855,P0169,C03067,2026-03-15,Changed Mind,1,3690.35
R000107,O000861,P0177,C02941,2026-04-24,Damaged During Delivery,2,17201.33
R000108,O000862,P0331,C02080,2025-10-29,Size Issue,1,1839.85
R000109,O000884,P0246,C03572,2026-12-18,Changed Mind,2,6341.36
R000110,O000896,P0498,C03485,2026-07-25,Late Delivery,1,1613.82
R000111,O000914,P0473,C01200,2027-01-06,Size Issue,1,10212.38
R000112,O000920,P0357,C04904,2025-01-13,Size Issue,2,7629.21
R000113,O000923,P0129,C04241,2026-12-23,Late Delivery,1,7228.3
R000114,O000923,P0444,C04241,2026-12-17,Not as Expected,1,1657.18
R000115,O000972,P0383,C05990,2026-05-19,Damaged During Delivery,1,2793.1
R000116,O000979,P0253,C07024,2025-07-13,Wrong Product,1,3547.7
R000117,O000982,P0160,C05000,2025-11-02,Size Issue,1,7335.27
R000118,O000982,P0002,C05000,2025-11-02,Wrong Product,1,25424.27
R000119,O001001,P0451,C06601,2026-02-12,Not as Expected,2,1590.6
R000120,O001003,P0231,C04698,2026-07-10,Size Issue,1,3873.55
R000121,O001012,P0371,C09441,2026-12-27,Product Defect,2,4541.25
R000122,O001044,P0184,C04864,2026-08-18,Wrong Product,1,8883.83
R000123,O001044,P0309,C04864,2026-08-22,Damaged During Delivery,1,3571.61
R000124,O001051,P0374,C09674,2026-05-26,Product Defect,1,3845.71
R000125,O001051,P0057,C09674,2026-05-20,Not as Expected,1,8452.33
R000126,O001074,P0074,C03321,2026-09-20,Changed Mind,1,25836.58
R000127,O001074,P0397,C03321,2026-09-06,Damaged During Delivery,2,8336.12
R000128,O001074,P0126,C03321,2026-09-08,Changed Mind,2,24402.86
R000129,O001110,P0028,C09752,2025-02-26,Wrong Product,1,14964.5
R000130,O001110,P0168,C09752,2025-02-25,Not as Expected,3,7989.03
R000131,O001119,P0292,C07726,2025-12-23,Not as Expected,1,445.78
R000132,O001119,P0282,C07726,2025-12-19,Product Defect,1,4899.24
R000133,O001140,P0424,C06895,2025-02-05,Size Issue,1,2378.36
R000134,O001142,P0414,C05413,2025-08-31,Changed Mind,2,8737.5
R000135,O001160,P0411,C08453,2025-10-22,Changed Mind,1,7458.0
R000136,O001167,P0039,C06245,2025-06-22,Late Delivery,1,25278.43
R000137,O001167,P0316,C06245,2025-06-23,Product Defect,1,4535.76
R000138,O001168,P0455,C07008,2025-10-17,Size Issue,1,5942.26
R000139,O001178,P0196,C03094,2026-05-27,Size Issue,2,1536.57
R000140,O001178,P0241,C03094,2026-05-23,Late Delivery,1,6266.24
R000141,O001178,P0315,C03094,2026-05-26,Damaged During Delivery,1,1707.67
R000142,O001180,P0298,C04320,2026-01-12,Not as Expected,1,3348.77
R000143,O001231,P0148,C01077,2025-09-24,Size Issue,1,1421.18
R000144,O001248,P0263,C09564,2026-05-07,Size Issue,1,5859.41
R000145,O001248,P0321,C09564,2026-05-13,Product Defect,1,2258.9
R000146,O001248,P0443,C09564,2026-05-03,Not as Expected,1,8181.02
R000147,O001267,P0058,C06320,2025-04-07,Late Delivery,1,10305.58
R000148,O001267,P0197,C06320,2025-03-28,Late Delivery,1,6261.81
R000149,O001307,P0396,C07070,2026-07-07,Changed Mind,1,1384.21
R000150,O001325,P0029,C09332,2026-11-02,Product Defect,1,25342.1
R000151,O001325,P0371,C09332,2026-10-20,Product Defect,1,2219.48
R000152,O001325,P0439,C09332,2026-10-30,Late Delivery,1,10890.09
R000153,O001331,P0009,C07380,2025-12-09,Not as Expected,1,29852.07
R000154,O001347,P0407,C09229,2026-03-09,Changed Mind,1,6360.24
R000155,O001347,P0049,C09229,2026-03-08,Size Issue,1,6930.75
R000156,O001348,P0251,C09521,2025-03-31,Changed Mind,1,1034.03
R000157,O001357,P0466,C01022,2026-12-14,Not as Expected,1,8006.57
R000158,O001357,P0175,C01022,2026-12-17,Changed Mind,2,25030.83
R000159,O001361,P0004,C04003,2025-11-28,Changed Mind,2,25495.06
R000160,O001361,P0051,C04003,2025-12-04,Late Delivery,2,18470.3
R000161,O001371,P0058,C05446,2026-02-10,Product Defect,2,20960.35
R000162,O001371,P0156,C05446,2026-02-18,Not as Expected,1,2674.58
R000163,O001392,P0145,C06012,2026-08-27,Size Issue,1,13605.45
R000164,O001395,P0043,C04049,2025-06-23,Product Defect,1,25872.11
R000165,O001395,P0304,C04049,2025-06-27,Changed Mind,3,11489.76
R000166,O001397,P0123,C08955,2025-11-19,Changed Mind,1,13716.68
R000167,O001402,P0188,C00350,2025-03-18,Not as Expected,2,20796.5
R000168,O001414,P0310,C09834,2025-04-30,Not as Expected,1,2879.1
R000169,O001421,P0407,C01314,2025-10-17,Not as Expected,1,6590.22
R000170,O001475,P0335,C05746,2026-01-03,Not as Expected,2,378.94
R000171,O001479,P0424,C08538,2025-02-23,Product Defect,1,2439.15
R000172,O001510,P0245,C09453,2027-01-01,Not as Expected,1,4920.01
R000173,O001535,P0109,C02488,2026-04-26,Late Delivery,1,13148.93
R000174,O001540,P0131,C05704,2026-10-10,Size Issue,1,14577.04
R000175,O001556,P0459,C08454,2025-06-21,Product Defect,1,9231.47
R000176,O001566,P0453,C06519,2025-10-25,Damaged During Delivery,2,6700.44
R000177,O001576,P0260,C06443,2026-10-09,Changed Mind,1,379.9
R000178,O001591,P0413,C07078,2026-04-17,Changed Mind,1,7556.74
R000179,O001605,P0245,C07543,2026-04-22,Not as Expected,1,5538.1
R000180,O001633,P0220,C06014,2026-07-25,Wrong Product,2,2061.61
R000181,O001644,P0190,C02993,2025-03-27,Wrong Product,1,15491.04
R000182,O001654,P0003,C06216,2025-05-03,Wrong Product,2,12844.08
R000183,O001656,P0209,C06162,2026-11-08,Not as Expected,1,4825.72
R000184,O001665,P0145,C05373,2025-04-09,Not as Expected,1,13348.8
R000185,O001675,P0453,C00469,2026-02-22,Wrong Product,1,3380.28
R000186,O001703,P0406,C02201,2025-09-17,Not as Expected,1,10611.96
R000187,O001703,P0038,C02201,2025-09-20,Changed Mind,1,1379.35
R000188,O001703,P0447,C02201,2025-09-10,Not as Expected,1,2061.77
R000189,O001737,P0121,C05881,2025-10-25,Damaged During Delivery,1,2654.78
R000190,O001770,P0438,C00561,2025-06-05,Late Delivery,1,7940.72
R000191,O001774,P0374,C09433,2026-05-09,Late Delivery,1,4300.92
R000192,O001790,P0117,C04073,2026-04-19,Size Issue,2,12414.74
R000193,O001790,P0196,C04073,2026-04-17,Late Delivery,1,844.61
R000194,O001832,P0321,C01095,2025-04-05,Not as Expected,2,4445.23
R000195,O001832,P0217,C01095,2025-04-13,Damaged During Delivery,1,4574.81
R000196,O001862,P0353,C03211,2026-03-10,Size Issue,2,4550.18
R000197,O001862,P0017,C03211,2026-03-07,Changed Mind,1,1191.89
R000198,O001919,P0454,C05479,2026-11-08,Product Defect,1,10174.26
R000199,O001953,P0048,C07279,2026-11-24,Changed Mind,1,9708.77
R000200,O001953,P0176,C07279,2026-11-29,Not as Expected,2,24653.76
R000201,O001964,P0214,C03554,2025-09-16,Changed Mind,2,11924.41
R000202,O001970,P0007,C08832,2026-10-23,Wrong Product,1,8989.98
R000203,O001981,P0368,C06218,2025-01-22,Changed Mind,1,294.41
R000204,O001981,P0142,C06218,2025-01-20,Late Delivery,1,2548.4
R000205,O001989,P0063,C02252,2026-03-28,Not as Expected,2,17492.22
R000206,O002021,P0299,C01340,2026-07-25,Not as Expected,1,5291.72
R000207,O002030,P0262,C03831,2026-09-12,Size Issue,1,1726.68
R000208,O002047,P0076,C05099,2025-01-11,Product Defect,1,25671.8
R000209,O002047,P0399,C05099,2025-01-13,Size Issue,1,3882.77
R000210,O002047,P0034,C05099,2025-01-10,Not as Expected,1,20311.64
R000211,O002058,P0106,C03644,2026-07-15,Not as Expected,1,5394.01
R000212,O002095,P0184,C09938,2025-04-11,Damaged During Delivery,1,9501.81
R000213,O002115,P0464,C06618,2026-08-18,Wrong Product,1,7242.68
R000214,O002115,P0204,C06618,2026-08-09,Changed Mind,1,4096.37
R000215,O002119,P0283,C05537,2025-09-10,Product Defect,1,4656.36
R000216,O002154,P0388,C06929,2025-11-15,Not as Expected,1,4205.31
R000217,O002168,P0036,C01950,2026-07-20,Size Issue,1,2809.24
R000218,O002201,P0438,C06461,2026-10-15,Size Issue,1,7177.34
R000219,O002238,P0097,C05264,2025-07-22,Late Delivery,2,62224.09
R000220,O002240,P0268,C05971,2026-01-10,Product Defect,1,5481.6
R000221,O002241,P0239,C07640,2026-09-05,Wrong Product,1,3157.21
R000222,O002242,P0394,C01761,2026-03-13,Product Defect,2,1468.53
R000223,O002242,P0012,C01761,2026-03-27,Damaged During Delivery,1,29581.19
R000224,O002242,P0452,C01761,2026-03-15,Product Defect,1,1743.31
R000225,O002247,P0085,C09365,2026-06-12,Changed Mind,1,1097.01
R000226,O002247,P0189,C09365,2026-06-11,Late Delivery,1,987.57
R000227,O002250,P0188,C09495,2026-02-06,Changed Mind,2,20613.45
R000228,O002261,P0418,C01206,2026-10-03,Product Defect,1,8519.62
R000229,O002269,P0122,C00774,2025-07-31,Late Delivery,2,12176.51
R000230,O002270,P0030,C04565,2025-06-14,Not as Expected,1,21782.74
R000231,O002275,P0292,C05008,2026-11-25,Changed Mind,1,439.26
R000232,O002275,P0060,C05008,2026-11-27,Changed Mind,1,14619.08
R000233,O002276,P0220,C02749,2025-03-30,Size Issue,1,1040.41
R000234,O002280,P0267,C02752,2027-01-06,Product Defect,2,12912.23
R000235,O002295,P0243,C06198,2025-03-23,Wrong Product,2,10074.52
R000236,O002295,P0136,C06198,2025-03-19,Size Issue,2,24848.55
R000237,O002295,P0482,C06198,2025-03-24,Size Issue,1,10657.3
R000238,O002296,P0229,C01163,2026-04-17,Product Defect,2,3876.32
R000239,O002307,P0149,C01714,2025-02-20,Size Issue,1,11292.43
R000240,O002307,P0385,C01714,2025-02-19,Size Issue,2,8715.39
R000241,O002309,P0109,C01218,2026-10-27,Size Issue,1,14031.24
R000242,O002311,P0284,C04424,2025-12-03,Changed Mind,1,3999.96
R000243,O002311,P0394,C04424,2025-11-28,Size Issue,1,721.13
R000244,O002311,P0467,C04424,2025-11-27,Not as Expected,1,2636.03
R000245,O002315,P0055,C07924,2026-10-28,Changed Mind,2,18991.38
R000246,O002317,P0427,C08467,2025-03-19,Size Issue,1,9355.72
R000247,O002327,P0159,C07787,2026-12-23,Changed Mind,1,3318.7
R000248,O002328,P0392,C01448,2025-06-28,Product Defect,1,2736.34
R000249,O002331,P0396,C04879,2025-08-13,Changed Mind,2,3043.25
R000250,O002331,P0213,C04879,2025-08-04,Product Defect,1,4831.81
R000251,O002331,P0193,C04879,2025-08-08,Not as Expected,1,2301.58
R000252,O002341,P0347,C00304,2027-01-02,Not as Expected,1,1148.06
R000253,O002341,P0234,C00304,2026-12-31,Not as Expected,1,4401.88
R000254,O002341,P0364,C00304,2026-12-19,Not as Expected,1,387.72
R000255,O002363,P0157,C05814,2025-05-29,Damaged During Delivery,1,11911.65
R000256,O002389,P0397,C08168,2025-05-22,Changed Mind,1,4364.09
R000257,O002389,P0208,C08168,2025-05-30,Changed Mind,1,393.52
R000258,O002395,P0270,C08102,2026-10-27,Not as Expected,1,1163.48
R000259,O002419,P0103,C05935,2026-01-17,Size Issue,1,1611.69
R000260,O002419,P0456,C05935,2026-01-21,Changed Mind,1,880.51
R000261,O002461,P0109,C01361,2025-11-25,Not as Expected,1,13988.83
R000262,O002464,P0303,C05822,2026-12-07,Product Defect,1,3628.29
R000263,O002472,P0275,C04673,2026-04-10,Damaged During Delivery,1,6492.05
R000264,O002508,P0170,C04603,2026-12-05,Changed Mind,1,8791.07
R000265,O002562,P0213,C06689,2025-10-29,Not as Expected,2,10754.81
R000266,O002582,P0235,C03079,2026-07-21,Product Defect,1,1736.15
R000267,O002593,P0047,C06137,2026-12-09,Damaged During Delivery,1,1486.47
R000268,O002593,P0481,C06137,2026-12-04,Wrong Product,1,9675.75
R000269,O002593,P0453,C06137,2026-11-28,Changed Mind,1,3530.82
R000270,O002600,P0273,C01454,2026-11-02,Wrong Product,2,8602.15
R000271,O002608,P0246,C08947,2026-07-05,Size Issue,1,3081.21
R000272,O002608,P0196,C08947,2026-07-05,Damaged During Delivery,2,1736.8
R000273,O002609,P0047,C05968,2027-01-09,Product Defect,1,1498.91
R000274,O002615,P0106,C08012,2026-10-28,Damaged During Delivery,2,11531.46
R000275,O002616,P0159,C08351,2026-12-28,Wrong Product,1,2980.09
R000276,O002654,P0089,C04078,2026-01-09,Changed Mind,2,28124.71
R000277,O002654,P0420,C04078,2025-12-31,Changed Mind,1,1461.09
R000278,O002665,P0393,C06418,2026-12-18,Damaged During Delivery,1,1346.99
R000279,O002698,P0360,C00825,2025-10-30,Product Defect,1,3298.75
R000280,O002698,P0483,C00825,2025-11-05,Not as Expected,1,1983.43
R000281,O002714,P0256,C06976,2026-11-15,Wrong Product,1,5594.15
R000282,O002729,P0252,C03756,2025-09-20,Not as Expected,1,5671.46
R000283,O002729,P0276,C03756,2025-09-08,Late Delivery,1,6220.18
R000284,O002758,P0036,C02857,2026-08-25,Not as Expected,1,2594.59
R000285,O002758,P0114,C02857,2026-09-01,Wrong Product,1,2092.03
R000286,O002773,P0417,C01616,2026-11-20,Not as Expected,1,7043.44
R000287,O002776,P0324,C04197,2025-04-29,Wrong Product,1,623.5
R000288,O002794,P0006,C08626,2025-10-04,Size Issue,1,23593.56
R000289,O002794,P0256,C08626,2025-10-10,Changed Mind,1,5716.74
R000290,O002801,P0320,C04912,2025-07-26,Not as Expected,1,3434.18
R000291,O002801,P0284,C04912,2025-07-30,Late Delivery,2,7315.79
R000292,O002801,P0298,C04912,2025-07-18,Changed Mind,1,3210.39
R000293,O002808,P0039,C06673,2025-02-08,Damaged During Delivery,2,48244.55
R000294,O002834,P0430,C06661,2026-11-17,Not as Expected,1,5990.59
R000295,O002861,P0202,C09957,2025-02-20,Damaged During Delivery,2,13561.39
R000296,O002863,P0117,C06919,2026-05-19,Size Issue,1,7046.39
R000297,O002863,P0418,C06919,2026-05-13,Not as Expected,1,7678.31
R000298,O002863,P0316,C06919,2026-05-03,Size Issue,2,8286.25
R000299,O002878,P0351,C02193,2025-09-04,Changed Mind,1,2007.93
R000300,O002878,P0224,C02193,2025-09-08,Product Defect,1,1783.96
R000301,O002878,P0373,C02193,2025-09-04,Not as Expected,1,1787.3
R000302,O002884,P0291,C05765,2025-11-14,Not as Expected,2,4943.97
R000303,O002884,P0152,C05765,2025-10-31,Product Defect,2,5253.51
R000304,O002891,P0108,C03311,2025-03-13,Changed Mind,1,11056.52
R000305,O002907,P0033,C01250,2026-02-12,Size Issue,1,7436.18
R000306,O002936,P0067,C01397,2027-01-02,Product Defect,1,23082.45
R000307,O002959,P0009,C07994,2026-09-03,Product Defect,1,22909.79
R000308,O002959,P0143,C07994,2026-08-26,Not as Expected,1,7609.47
R000309,O002959,P0487,C07994,2026-08-26,Damaged During Delivery,1,5060.82
R000310,O002973,P0177,C09975,2025-02-25,Changed Mind,1,8903.26
R000311,O002973,P0118,C09975,2025-02-23,Changed Mind,1,2097.67
R000312,O002981,P0390,C03304,2025-04-24,Damaged During Delivery,1,765.72
R000313,O002984,P0289,C04829,2026-04-28,Changed Mind,1,5443.83
R000314,O002984,P0288,C04829,2026-04-30,Late Delivery,2,3681.0
R000315,O002989,P0447,C01667,2025-11-01,Changed Mind,1,2143.51
R000316,O003000,P0426,C03908,2026-08-02,Size Issue,1,721.93
R000317,O003010,P0331,C09046,2026-09-23,Size Issue,1,1934.01
R000318,O003018,P0046,C08635,2026-08-21,Size Issue,2,14627.17
R000319,O003018,P0106,C08635,2026-09-02,Damaged During Delivery,2,12193.7
R000320,O003029,P0034,C05869,2026-09-28,Size Issue,2,33877.52
R000321,O003034,P0414,C05581,2026-04-14,Not as Expected,1,3830.07
R000322,O003046,P0185,C02248,2025-02-19,Size Issue,1,8539.57
R000323,O003053,P0248,C04935,2025-02-25,Size Issue,1,4216.5
R000324,O003053,P0441,C04935,2025-03-05,Product Defect,1,7718.25
R000325,O003059,P0443,C03497,2025-11-17,Late Delivery,1,8265.27
R000326,O003059,P0164,C03497,2025-11-11,Product Defect,1,16157.9
R000327,O003097,P0306,C09128,2025-07-07,Damaged During Delivery,1,1566.84
R000328,O003115,P0488,C03674,2025-04-22,Not as Expected,1,8493.51
R000329,O003134,P0471,C02391,2026-09-03,Changed Mind,1,2037.05
R000330,O003151,P0346,C07553,2025-05-22,Size Issue,1,505.9
R000331,O003151,P0224,C07553,2025-05-26,Wrong Product,1,1697.0
R000332,O003161,P0369,C07411,2026-02-17,Size Issue,1,2984.46
R000333,O003173,P0282,C06550,2026-07-10,Not as Expected,1,4801.08
R000334,O003179,P0103,C00103,2025-10-10,Size Issue,1,1577.8
R000335,O003208,P0452,C07934,2027-01-08,Not as Expected,2,3435.24
R000336,O003210,P0243,C08225,2026-12-18,Size Issue,1,5352.96
R000337,O003216,P0118,C04010,2025-11-16,Not as Expected,1,1883.14
R000338,O003223,P0425,C09588,2026-07-28,Product Defect,1,7593.44
R000339,O003223,P0023,C09588,2026-07-29,Damaged During Delivery,3,62747.36
R000340,O003223,P0025,C09588,2026-08-07,Damaged During Delivery,2,55637.12
R000341,O003225,P0319,C02105,2026-01-05,Late Delivery,1,2874.61
R000342,O003226,P0148,C09502,2026-08-28,Late Delivery,1,1568.77
R000343,O003232,P0399,C09942,2026-10-23,Product Defect,1,3982.83
R000344,O003232,P0312,C09942,2026-10-22,Damaged During Delivery,1,470.64
R000345,O003232,P0149,C09942,2026-10-31,Not as Expected,1,10814.58
R000346,O003247,P0409,C05166,2025-08-10,Not as Expected,1,9939.08
R000347,O003248,P0242,C05986,2026-10-12,Wrong Product,1,3660.01
R000348,O003259,P0324,C06200,2025-03-01,Damaged During Delivery,1,586.84
R000349,O003260,P0160,C05156,2026-09-29,Wrong Product,1,7165.33
R000350,O003260,P0291,C05156,2026-10-05,Wrong Product,1,2220.85
R000351,O003286,P0399,C06490,2025-07-31,Product Defect,1,4225.62
R000352,O003286,P0476,C06490,2025-08-05,Not as Expected,1,2179.89
R000353,O003286,P0348,C06490,2025-07-29,Product Defect,1,3446.67
R000354,O003294,P0193,C05577,2025-12-16,Size Issue,2,4719.84
R000355,O003304,P0064,C04128,2025-11-22,Late Delivery,2,25889.79
R000356,O003319,P0471,C06436,2025-08-24,Changed Mind,2,3836.49
R000357,O003334,P0474,C05641,2025-03-30,Size Issue,1,3570.31
R000358,O003347,P0111,C09041,2026-09-24,Size Issue,1,15641.94
R000359,O003349,P0324,C04336,2025-12-02,Damaged During Delivery,2,1193.91
R000360,O003360,P0282,C02773,2026-11-14,Changed Mind,1,4856.17
R000361,O003402,P0212,C02985,2026-08-06,Not as Expected,1,4643.23
R000362,O003402,P0156,C02985,2026-08-15,Size Issue,1,2594.75
R000363,O003415,P0223,C08427,2026-08-19,Changed Mind,1,4694.32
R000364,O003415,P0193,C08427,2026-08-06,Product Defect,1,2496.15
R000365,O003424,P0020,C06399,2025-09-30,Changed Mind,1,6406.78
R000366,O003444,P0228,C04759,2027-01-17,Size Issue,1,1190.16
R000367,O003456,P0242,C04234,2025-08-23,Not as Expected,1,3774.81
R000368,O003456,P0406,C04234,2025-08-27,Not as Expected,1,11445.47
R000369,O003473,P0176,C08232,2026-04-16,Not as Expected,1,12774.05
R000370,O003517,P0042,C05610,2025-12-26,Changed Mind,1,11492.39
R000371,O003524,P0499,C01748,2025-05-27,Size Issue,1,9826.53
R000372,O003524,P0475,C01748,2025-05-23,Size Issue,1,3514.01
R000373,O003546,P0288,C01316,2025-03-21,Not as Expected,1,1849.6
R000374,O003546,P0030,C01316,2025-03-20,Wrong Product,1,22218.43
R000375,O003546,P0228,C01316,2025-03-22,Product Defect,1,1178.04
R000376,O003551,P0084,C02759,2025-05-05,Not as Expected,1,7559.14
