product_id,product_name,category,subcategory,brand,selling_price,cost_price,launch_date
P0040,Electronics Mobile Accessories Product 40,Electronics,Mobile Accessories,Vertex,13124,7112.07,2025-01-02
P0041,Electronics Mobile Accessories Product 41,Electronics,Mobile Accessories,Aster,16218,12242.38,2024-05-02
P0042,Electronics Mobile Accessories Product 42,Electronics,Mobile Accessories,Mira,13351,7544.84,2025-02-24
P0043,Electronics Mobile Accessories Product 43,Electronics,Mobile Accessories,Aster,27507,19226.19,2025-05-13
P0044,Electronics Mobile Accessories Product 44,Electronics,Mobile Accessories,Aster,6906,4053.1,2024-03-07
P0045,Electronics Mobile Accessories Product 45,Electronics,Mobile Accessories,Nova,2252,1208.44,2025-10-09
P0046,Electronics Mobile Accessories Product 46,Electronics,Mobile Accessories,Orion,9919,7510.66,2025-04-27
P0047,Electronics Mobile Accessories Product 47,Electronics,Mobile Accessories,Nova,1545,836.91,2024-04-21
P0048,Electronics Mobile Accessories Product 48,Electronics,Mobile Accessories,Zenith,10020,5585.78,2025-03-29
P0049,Electronics Mobile Accessories Product 49,Electronics,Mobile Accessories,Aster,8117,4536.51,2025-07-30
P0050,Electronics Mobile Accessories Product 50,Electronics,Mobile Accessories,Nova,17723,10606.5,2024-12-02
P0051,Electronics Computing Product 51,Electronics,Computing,Pulse,10148,5657.91,2024-09-13
P0052,Electronics Computing Product 52,Electronics,Computing,Nova,19070,9628.06,2024-07-27
P0053,Electronics Computing Product 53,Electronics,Computing,Mira,4815,2665.45,2025-06-05
P0054,Electronics Computing Product 54,Electronics,Computing,UrbanX,5555,2815.17,2024-05-30
P0055,Electronics Computing Product 55,Electronics,Computing,UrbanX,10741,6373.33,2024-04-07
P0056,Electronics Computing Product 56,Electronics,Computing,Mira,10686,6721.78,2025-07-09
P0057,Electronics Computing Product 57,Electronics,Computing,Mira,9238,5070.59,2024-02-21
P0058,Electronics Computing Product 58,Electronics,Computing,Orion,11394,7584.92,2025-08-07
P0059,Electronics Computing Product 59,Electronics,Computing,Pulse,32833,21962.17,2025-01-13
P0060,Electronics Computing Product 60,Electronics,Computing,Nova,15160,9047.12,2025-05-01
P0061,Electronics Computing Product 61,Electronics,Computing,Zenith,3840,2007.93,2024-12-31
P0062,Electronics Computing Product 62,Electronics,Computing,Aster,29513,15778.86,2024-04-10
P0063,Electronics Computing Product 63,Electronics,Computing,Aster,10023,6467.7,2025-01-07
P0064,Electronics Computing Product 64,Electronics,Computing,Orion,13505,8756.91,2024-08-04
P0065,Electronics Computing Product 65,Electronics,Computing,Vertex,22914,13218.34,2024-03-20
P0066,Electronics Computing Product 66,Electronics,Computing,Zenith,17467,11917.24,2024-02-15
P0067,Electronics Computing Product 67,Electronics,Computing,Vertex,24727,13718.5,2024-01-29
P0068,Electronics Computing Product 68,Electronics,Computing,Mira,34574,17556.35,2025-05-31
P0069,Electronics Computing Product 69,Electronics,Computing,Zenith,10430,7833.14,2024-10-24
P0070,Electronics Computing Product 70,Electronics,Computing,Aster,2969,1917.2,2025-09-16
P0071,Electronics Computing Product 71,Electronics,Computing,UrbanX,28140,17056.73,2024-03-06
P0072,Electronics Computing Product 72,Electronics,Computing,Aster,22561,13652.54,2024-11-07
P0073,Electronics Computing Product 73,Electronics,Computing,Aster,29669,17851.49,2024-08-28
P0074,Electronics Computing Product 74,Electronics,Computing,Nova,31469,22026.9,2024-02-07
P0075,Electronics Computing Product 75,Electronics,Computing,UrbanX,30550,21356.81,2025-09-29
P0076,Electronics Wearables Product 76,Electronics,Wearables,Zenith,27548,19543.67,2025-10-08
P0077,Electronics Wearables Product 77,Electronics,Wearables,Mira,9433,5072.8,2025-06-20
P0078,Electronics Wearables Product 78,Electronics,Wearables,Mira,25416,19401.68,2024-08-16
P0079,Electronics Wearables Product 79,Electronics,Wearables,Vertex,3105,1866.78,2025-04-08
P0080,Electronics Wearables Product 80,Electronics,Wearables,Zenith,23574,14198.05,2025-05-29
P0081,Electronics Wearables Product 81,Electronics,Wearables,Mira,32196,18095.55,2025-06-01
P0082,Electronics Wearables Product 82,Electronics,Wearables,Vertex,13719,10032.48,2025-09-25
P0083,Electronics Wearables Product 83,Electronics,Wearables,Nova,2507,1541.22,2025-03-26
P0084,Electronics Wearables Product 84,Electronics,Wearables,Nova,8559,5794.65,2025-01-29
P0085,Electronics Wearables Product 85,Electronics,Wearables,Orion,1225,774.13,2024-11-08
P0086,Electronics Wearables Product 86,Electronics,Wearables,Mira,20706,15800.66,2025-04-07
P0087,Electronics Wearables Product 87,Electronics,Wearables,Mira,15659,10759.42,2024-11-11
P0088,Electronics Wearables Product 88,Electronics,Wearables,Orion,11904,9033.94,2024-09-10
P0089,Electronics Wearables Product 89,Electronics,Wearables,Nova,14645,9967.65,2025-02-22
P0090,Electronics Wearables Product 90,Electronics,Wearables,Zenith,24105,17401.56,2025-06-29
P0091,Electronics Wearables Product 91,Electronics,Wearables,Vertex,12090,8949.82,2024-11-10
P0092,Electronics Wearables Product 92,Electronics,Wearables,Nova,3693,1947.98,2024-02-09
P0093,Electronics Wearables Product 93,Electronics,Wearables,UrbanX,15360,11660.07,2025-08-07
P0094,Electronics Wearables Product 94,Electronics,Wearables,Nova,16635,11811.15,2024-03-02
P0095,Electronics Wearables Product 95,Electronics,Wearables,UrbanX,6180,4416.25,2025-09-12
P0096,Electronics Wearables Product 96,Electronics,Wearables,Nova,3328,2250.65,2024-12-06
P0097,Electronics Wearables Product 97,Electronics,Wearables,Vertex,34142,20348.47,2025-09-13
P0098,Electronics Wearables Product 98,Electronics,Wearables,Pulse,10835,6533.31,2025-08-11
P0099,Electronics Wearables Product 99,Electronics,Wearables,Mira,34295,17725.01,2025-09-07
P0100,Electronics Wearables Product 100,Electronics,Wearables,Orion,18648,10804.92,2025-06-15
P0101,Home & Kitchen Kitchen Product 101,Home & Kitchen,Kitchen,Orion,10390,7456.13,2025-04-04
P0102,Home & Kitchen Kitchen Product 102,Home & Kitchen,Kitchen,Nova,2178,1418.36,2025-07-11
P0103,Home & Kitchen Kitchen Product 103,Home & Kitchen,Kitchen,Orion,1790,1378.19,2025-05-05
P0104,Home & Kitchen Kitchen Product 104,Home & Kitchen,Kitchen,Vertex,14835,11448.39,2025-04-09
P0105,Home & Kitchen Kitchen Product 105,Home & Kitchen,Kitchen,Mira,10195,7159.3,2025-05-12
P0106,Home & Kitchen Kitchen Product 106,Home & Kitchen,Kitchen,Pulse,6310,3297.55,2024-01-13
P0107,Home & Kitchen Kitchen Product 107,Home & Kitchen,Kitchen,Zenith,4397,2995.71,2025-07-20
P0108,Home & Kitchen Kitchen Product 108,Home & Kitchen,Kitchen,Mira,12828,9791.6,2024-09-24
P0109,Home & Kitchen Kitchen Product 109,Home & Kitchen,Kitchen,Aster,15128,8332.6,2024-06-23
P0110,Home & Kitchen Kitchen Product 110,Home & Kitchen,Kitchen,Pulse,4331,2815.47,2024-01-03
P0111,Home & Kitchen Kitchen Product 111,Home & Kitchen,Kitchen,Orion,17704,13161.0,2024-04-26
P0112,Home & Kitchen Kitchen Product 112,Home & Kitchen,Kitchen,Pulse,659,432.38,2025-05-11
P0113,Home & Kitchen Kitchen Product 113,Home & Kitchen,Kitchen,Pulse,15737,12109.2,2025-10-03
P0114,Home & Kitchen Kitchen Product 114,Home & Kitchen,Kitchen,Orion,2184,1358.41,2025-04-16
P0115,Home & Kitchen Kitchen Product 115,Home & Kitchen,Kitchen,Orion,7155,4066.32,2025-07-06
P0116,Home & Kitchen Kitchen Product 116,Home & Kitchen,Kitchen,Mira,13349,8104.95,2025-06-18
P0117,Home & Kitchen Kitchen Product 117,Home & Kitchen,Kitchen,Vertex,7229,4433.33,2025-09-21
P0118,Home & Kitchen Kitchen Product 118,Home & Kitchen,Kitchen,Orion,2211,1440.47,2024-11-19
P0119,Home & Kitchen Kitchen Product 119,Home & Kitchen,Kitchen,Zenith,12521,9331.3,2024-09-15
P0120,Home & Kitchen Kitchen Product 120,Home & Kitchen,Kitchen,Nova,3399,2516.59,2024-06-17
P0121,Home & Kitchen Kitchen Product 121,Home & Kitchen,Kitchen,UrbanX,2994,1687.02,2025-07-14
P0122,Home & Kitchen Kitchen Product 122,Home & Kitchen,Kitchen,Vertex,6939,4130.45,2025-04-08
P0123,Home & Kitchen Kitchen Product 123,Home & Kitchen,Kitchen,Orion,14025,9441.16,2024-02-17
P0124,Home & Kitchen Kitchen Product 124,Home & Kitchen,Kitchen,Nova,578,448.56,2025-04-01
P0125,Home & Kitchen Kitchen Product 125,Home & Kitchen,Kitchen,Pulse,16561,10910.7,2024-08-15
P0126,Home & Kitchen Home Appliances Product 126,Home & Kitchen,Home Appliances,UrbanX,12467,9547.51,2025-06-02
P0127,Home & Kitchen Home Appliances Product 127,Home & Kitchen,Home Appliances,Orion,15740,9486.72,2024-12-17
P0128,Home & Kitchen Home Appliances Product 128,Home & Kitchen,Home Appliances,Vertex,10758,5594.17,2025-05-29
P0129,Home & Kitchen Home Appliances Product 129,Home & Kitchen,Home Appliances,Orion,7880,5295.51,2025-09-15
P0130,Home & Kitchen Home Appliances Product 130,Home & Kitchen,Home Appliances,Mira,4126,2608.55,2025-01-20
P0131,Home & Kitchen Home Appliances Product 131,Home & Kitchen,Home Appliances,UrbanX,15835,11756.51,2025-05-17
P0132,Home & Kitchen Home Appliances Product 132,Home & Kitchen,Home Appliances,Zenith,17745,10866.66,2025-10-06
P0133,Home & Kitchen Home Appliances Product 133,Home & Kitchen,Home Appliances,Vertex,3332,2583.15,2024-04-30
P0134,Home & Kitchen Home Appliances Product 134,Home & Kitchen,Home Appliances,Vertex,17527,11750.18,2024-06-21
P0135,Home & Kitchen Home Appliances Product 135,Home & Kitchen,Home Appliances,Pulse,6224,4122.43,2025-09-16
P0136,Home & Kitchen Home Appliances Product 136,Home & Kitchen,Home Appliances,Nova,13679,9425.15,2025-04-13
P0137,Home & Kitchen Home Appliances Product 137,Home & Kitchen,Home Appliances,Orion,7439,4933.36,2025-08-15
P0138,Home & Kitchen Home Appliances Product 138,Home & Kitchen,Home Appliances,Nova,2884,1556.27,2024-11-26
P0139,Home & Kitchen Home Appliances Product 139,Home & Kitchen,Home Appliances,UrbanX,6481,4279.31,2025-08-30
P0140,Home & Kitchen Home Appliances Product 140,Home & Kitchen,Home Appliances,Vertex,1562,1104.36,2025-03-14
P0141,Home & Kitchen Home Appliances Product 141,Home & Kitchen,Home Appliances,Zenith,17842,11011.66,2024-07-26
P0142,Home & Kitchen Home Appliances Product 142,Home & Kitchen,Home Appliances,Aster,2653,1701.33,2024-05-04
P0143,Home & Kitchen Home Appliances Product 143,Home & Kitchen,Home Appliances,Pulse,8138,5664.99,2025-08-27
P0144,Home & Kitchen Home Appliances Product 144,Home & Kitchen,Home Appliances,Pulse,13367,7080.64,2024-09-10
P0145,Home & Kitchen Home Appliances Product 145,Home & Kitchen,Home Appliances,UrbanX,15268,11729.23,2024-08-20
P0146,Home & Kitchen Home Appliances Product 146,Home & Kitchen,Home Appliances,Mira,16595,10595.7,2025-06-02
P0147,Home & Kitchen Home Appliances Product 147,Home & Kitchen,Home Appliances,Orion,6662,4169.31,2024-09-01
P0148,Home & Kitchen Home Appliances Product 148,Home & Kitchen,Home Appliances,Orion,1623,1012.39,2024-08-18
P0149,Home & Kitchen Home Appliances Product 149,Home & Kitchen,Home Appliances,Vertex,11772,6745.51,2024-12-23
P0150,Home & Kitchen Home Appliances Product 150,Home & Kitchen,Home Appliances,Nova,1898,1004.85,2024-02-25
P0151,Home & Kitchen Storage Product 151,Home & Kitchen,Storage,Mira,5186,3921.76,2024-09-18
P0152,Home & Kitchen Storage Product 152,Home & Kitchen,Storage,Aster,2684,1599.83,2025-07-10
P0153,Home & Kitchen Storage Product 153,Home & Kitchen,Storage,Mira,5603,3344.2,2024-08-08
P0154,Home & Kitchen Storage Product 154,Home & Kitchen,Storage,Aster,6853,5271.85,2024-05-12
P0155,Home & Kitchen Storage Product 155,Home & Kitchen,Storage,Zenith,12473,6793.17,2025-03-03
P0156,Home & Kitchen Storage Product 156,Home & Kitchen,Storage,UrbanX,2828,2146.32,2025-08-02
P0157,Home & Kitchen Storage Product 157,Home & Kitchen,Storage,Nova,13362,7891.54,2024-03-20
P0158,Home & Kitchen Storage Product 158,Home & Kitchen,Storage,UrbanX,833,490.73,2025-01-06
P0159,Home & Kitchen Storage Product 159,Home & Kitchen,Storage,Pulse,3408,1939.63,2024-10-14
P0160,Home & Kitchen Storage Product 160,Home & Kitchen,Storage,Pulse,8138,4293.61,2025-05-25
P0161,Home & Kitchen Storage Product 161,Home & Kitchen,Storage,Zenith,13423,9538.56,2024-10-14
P0162,Home & Kitchen Storage Product 162,Home & Kitchen,Storage,Vertex,3406,1861.72,2025-02-15
P0163,Home & Kitchen Storage Product 163,Home & Kitchen,Storage,Nova,15673,10745.44,2025-09-04
P0164,Home & Kitchen Storage Product 164,Home & Kitchen,Storage,UrbanX,17779,9870.79,2025-06-16
P0165,Home & Kitchen Storage Product 165,Home & Kitchen,Storage,Zenith,4924,2978.71,2024-09-03
P0166,Home & Kitchen Storage Product 166,Home & Kitchen,Storage,Aster,8059,4814.97,2025-03-01
P0167,Home & Kitchen Storage Product 167,Home & Kitchen,Storage,Nova,5469,2878.36,2024-04-06
P0168,Home & Kitchen Storage Product 168,Home & Kitchen,Storage,Nova,2761,2099.62,2024-07-11
P0169,Home & Kitchen Storage Product 169,Home & Kitchen,Storage,Orion,4159,3095.69,2024-11-27
P0170,Home & Kitchen Storage Product 170,Home & Kitchen,Storage,Orion,9400,6266.85,2024-10-13
P0171,Home & Kitchen Storage Product 171,Home & Kitchen,Storage,Zenith,3601,2205.68,2024-11-08
P0172,Home & Kitchen Storage Product 172,Home & Kitchen,Storage,UrbanX,13534,7281.22,2024-01-20
P0173,Home & Kitchen Storage Product 173,Home & Kitchen,Storage,Nova,10464,5320.86,2025-04-30
P0174,Home & Kitchen Storage Product 174,Home & Kitchen,Storage,UrbanX,13512,9679.12,2025-06-29
P0175,Home & Kitchen Storage Product 175,Home & Kitchen,Storage,Nova,14594,9863.74,2025-06-22
P0176,Home & Kitchen Decor Product 176,Home & Kitchen,Decor,Vertex,13286,10006.72,2024-01-08
P0177,Home & Kitchen Decor Product 177,Home & Kitchen,Decor,UrbanX,9799,6775.8,2025-06-30
P0178,Home & Kitchen Decor Product 178,Home & Kitchen,Decor,Aster,15968,10810.91,2024-01-23
P0179,Home & Kitchen Decor Product 179,Home & Kitchen,Decor,Nova,1231,686.96,2024-06-04
P0180,Home & Kitchen Decor Product 180,Home & Kitchen,Decor,Zenith,1941,1303.0,2025-03-11
P0181,Home & Kitchen Decor Product 181,Home & Kitchen,Decor,Vertex,14867,7940.52,2024-03-15
P0182,Home & Kitchen Decor Product 182,Home & Kitchen,Decor,UrbanX,13527,9749.7,2025-06-06
P0183,Home & Kitchen Decor Product 183,Home & Kitchen,Decor,Pulse,15248,7934.5,2025-08-09
P0184,Home & Kitchen Decor Product 184,Home & Kitchen,Decor,Vertex,10282,6925.34,2024-12-28
P0185,Home & Kitchen Decor Product 185,Home & Kitchen,Decor,Aster,9658,6935.05,2024-01-10
P0186,Home & Kitchen Decor Product 186,Home & Kitchen,Decor,Nova,10208,5535.27,2024-10-13
P0187,Home & Kitchen Decor Product 187,Home & Kitchen,Decor,Zenith,1935,988.01,2024-09-09
P0188,Home & Kitchen Decor Product 188,Home & Kitchen,Decor,Vertex,10914,6547.09,2025-08-04
P0189,Home & Kitchen Decor Product 189,Home & Kitchen,Decor,Mira,1085,660.97,2024-02-10
P0190,Home & Kitchen Decor Product 190,Home & Kitchen,Decor,Orion,17335,10211.68,2024-02-11
P0191,Home & Kitchen Decor Product 191,Home & Kitchen,Decor,Orion,13560,7502.36,2025-06-05
P0192,Home & Kitchen Decor Product 192,Home & Kitchen,Decor,Orion,3666,2746.22,2024-05-08
P0193,Home & Kitchen Decor Product 193,Home & Kitchen,Decor,Orion,2568,1797.52,2025-08-05
P0194,Home & Kitchen Decor Product 194,Home & Kitchen,Decor,Orion,5647,3682.39,2025-08-19
P0195,Home & Kitchen Decor Product 195,Home & Kitchen,Decor,Nova,15728,12205.15,2025-04-10
P0196,Home & Kitchen Decor Product 196,Home & Kitchen,Decor,Vertex,901,541.85,2024-08-20
P0197,Home & Kitchen Decor Product 197,Home & Kitchen,Decor,Orion,6718,4429.4,2024-08-22
P0198,Home & Kitchen Decor Product 198,Home & Kitchen,Decor,Mira,15694,8637.08,2025-04-29
P0199,Home & Kitchen Decor Product 199,Home & Kitchen,Decor,Zenith,14205,8235.25,2024-05-03
P0200,Home & Kitchen Decor Product 200,Home & Kitchen,Decor,Nova,12810,8916.91,2025-09-19
P0201,Fashion Men Product 201,Fashion,Men,UrbanX,1510,954.2,2025-07-19
P0202,Fashion Men Product 202,Fashion,Men,UrbanX,6979,4636.5,2024-04-27
P0203,Fashion Men Product 203,Fashion,Men,Vertex,6150,4017.86,2025-03-03
P0204,Fashion Men Product 204,Fashion,Men,Aster,4766,2885.69,2025-04-01
P0205,Fashion Men Product 205,Fashion,Men,Mira,812,480.63,2024-08-27
P0206,Fashion Men Product 206,Fashion,Men,UrbanX,5617,3554.31,2024-01-14
P0207,Fashion Men Product 207,Fashion,Men,Orion,3051,1714.06,2024-10-30
P0208,Fashion Men Product 208,Fashion,Men,Vertex,458,247.39,2025-02-22
P0209,Fashion Men Product 209,Fashion,Men,Orion,5217,3604.79,2024-06-28
P0210,Fashion Men Product 210,Fashion,Men,Vertex,6522,4807.44,2024-03-29
P0211,Fashion Men Product 211,Fashion,Men,Zenith,1545,1010.17,2025-04-27
P0212,Fashion Men Product 212,Fashion,Men,Nova,5229,2833.96,2024-03-07
P0213,Fashion Men Product 213,Fashion,Men,UrbanX,5589,4159.54,2024-08-06
P0214,Fashion Men Product 214,Fashion,Men,Aster,6527,3950.6,2024-12-24
P0215,Fashion Men Product 215,Fashion,Men,Vertex,5246,3695.35,2025-10-03
P0216,Fashion Men Product 216,Fashion,Men,Aster,2334,1738.45,2024-06-22
P0217,Fashion Men Product 217,Fashion,Men,Aster,5094,2597.55,2024-07-26
P0218,Fashion Men Product 218,Fashion,Men,Orion,2009,1117.49,2025-09-02
P0219,Fashion Men Product 219,Fashion,Men,Pulse,2400,1291.63,2025-03-10
P0220,Fashion Men Product 220,Fashion,Men,Orion,1107,704.78,2024-02-28
P0221,Fashion Men Product 221,Fashion,Men,Mira,6807,4268.08,2024-01-29
P0222,Fashion Men Product 222,Fashion,Men,UrbanX,2407,1729.97,2024-12-04
P0223,Fashion Men Product 223,Fashion,Men,Orion,4973,3222.27,2025-06-27
P0224,Fashion Men Product 224,Fashion,Men,Pulse,1990,1182.26,2025-06-16
P0225,Fashion Men Product 225,Fashion,Men,Zenith,5682,3399.9,2024-11-21
P0226,Fashion Women Product 226,Fashion,Women,Mira,5257,3489.41,2025-04-21
P0227,Fashion Women Product 227,Fashion,Women,Nova,6404,4657.67,2025-07-04
P0228,Fashion Women Product 228,Fashion,Women,Zenith,1329,826.63,2024-07-06
P0229,Fashion Women Product 229,Fashion,Women,Nova,2201,1261.06,2024-06-28
P0230,Fashion Women Product 230,Fashion,Women,Zenith,4568,3369.25,2025-04-19
P0231,Fashion Women Product 231,Fashion,Women,Orion,4081,2048.85,2024-12-06
P0232,Fashion Women Product 232,Fashion,Women,Mira,5757,3381.09,2024-06-06
P0233,Fashion Women Product 233,Fashion,Women,Aster,4272,2736.79,2025-01-28
P0234,Fashion Women Product 234,Fashion,Women,Nova,4725,3615.98,2024-06-14
P0235,Fashion Women Product 235,Fashion,Women,Vertex,1992,1354.9,2024-02-12
P0236,Fashion Women Product 236,Fashion,Women,Mira,3371,2624.54,2024-09-05
P0237,Fashion Women Product 237,Fashion,Women,Nova,6327,3310.89,2025-04-19
P0238,Fashion Women Product 238,Fashion,Women,Orion,3343,2358.01,2024-12-19
P0239,Fashion Women Product 239,Fashion,Women,Vertex,3379,1728.55,2025-05-13
P0240,Fashion Women Product 240,Fashion,Women,Orion,366,188.53,2024-10-25
P0241,Fashion Women Product 241,Fashion,Women,Pulse,6465,3961.12,2024-03-04
P0242,Fashion Women Product 242,Fashion,Women,UrbanX,3979,2853.39,2024-10-30
P0243,Fashion Women Product 243,Fashion,Women,Nova,5488,3649.93,2024-03-09
P0244,Fashion Women Product 244,Fashion,Women,Pulse,2449,1806.88,2024-12-06
P0245,Fashion Women Product 245,Fashion,Women,Aster,5723,2961.84,2024-07-05
P0246,Fashion Women Product 246,Fashion,Women,Mira,3385,2047.49,2024-01-10
P0247,Fashion Women Product 247,Fashion,Women,Pulse,949,483.02,2025-08-10
P0248,Fashion Women Product 248,Fashion,Women,Nova,4927,3183.59,2025-08-28
P0249,Fashion Women Product 249,Fashion,Women,UrbanX,3813,2934.82,2025-04-21
P0250,Fashion Women Product 250,Fashion,Women,Nova,5937,4447.0,2024-11-10
P0251,Fashion Footwear Product 251,Fashion,Footwear,Vertex,1117,827.72,2025-01-19
P0252,Fashion Footwear Product 252,Fashion,Footwear,Orion,6137,3493.46,2025-05-12
P0253,Fashion Footwear Product 253,Fashion,Footwear,Vertex,3774,2775.0,2024-03-23
P0254,Fashion Footwear Product 254,Fashion,Footwear,Vertex,4136,2524.53,2024-04-29
P0255,Fashion Footwear Product 255,Fashion,Footwear,Vertex,6382,3332.34,2025-05-12
P0256,Fashion Footwear Product 256,Fashion,Footwear,Zenith,6504,4432.25,2024-01-21
P0257,Fashion Footwear Product 257,Fashion,Footwear,Nova,6046,3529.05,2025-09-08
P0258,Fashion Footwear Product 258,Fashion,Footwear,Zenith,6244,4634.93,2024-09-01
P0259,Fashion Footwear Product 259,Fashion,Footwear,Aster,6327,3911.84,2024-08-22
P0260,Fashion Footwear Product 260,Fashion,Footwear,Orion,408,313.45,2025-06-19
P0261,Fashion Footwear Product 261,Fashion,Footwear,Vertex,337,250.74,2024-04-10
P0262,Fashion Footwear Product 262,Fashion,Footwear,Vertex,1864,1181.18,2025-03-01
P0263,Fashion Footwear Product 263,Fashion,Footwear,Orion,6546,3672.12,2025-03-22
P0264,Fashion Footwear Product 264,Fashion,Footwear,Orion,3012,1919.61,2024-12-16
P0265,Fashion Footwear Product 265,Fashion,Footwear,Mira,5758,2959.42,2024-04-08
P0266,Fashion Footwear Product 266,Fashion,Footwear,Pulse,4234,2180.37,2025-01-06
P0267,Fashion Footwear Product 267,Fashion,Footwear,UrbanX,6999,4042.45,2024-10-08
P0268,Fashion Footwear Product 268,Fashion,Footwear,Nova,6313,4386.23,2024-01-12
P0269,Fashion Footwear Product 269,Fashion,Footwear,Orion,1529,994.43,2025-09-06
P0270,Fashion Footwear Product 270,Fashion,Footwear,Pulse,1227,842.79,2025-05-13
P0271,Fashion Footwear Product 271,Fashion,Footwear,Mira,1841,1017.2,2025-03-08
P0272,Fashion Footwear Product 272,Fashion,Footwear,Pulse,2584,1612.53,2024-07-22
P0273,Fashion Footwear Product 273,Fashion,Footwear,Mira,4539,3297.67,2024-02-02
P0274,Fashion Footwear Product 274,Fashion,Footwear,Orion,5575,3692.67,2025-05-22
P0275,Fashion Footwear Product 275,Fashion,Footwear,Orion,6815,5136.96,2024-08-30
P0276,Fashion Accessories Product 276,Fashion,Accessories,Zenith,6470,3737.38,2024-10-21
P0277,Fashion Accessories Product 277,Fashion,Accessories,Vertex,2562,1610.19,2024-11-29
P0278,Fashion Accessories Product 278,Fashion,Accessories,Mira,6149,4743.88,2024-07-08
P0279,Fashion Accessories Product 279,Fashion,Accessories,Mira,3007,1631.82,2024-08-28
P0280,Fashion Accessories Product 280,Fashion,Accessories,Nova,2253,1351.49,2024-04-14
P0281,Fashion Accessories Product 281,Fashion,Accessories,UrbanX,3337,2203.63,2024-02-03
P0282,Fashion Accessories Product 282,Fashion,Accessories,Pulse,5313,3084.96,2024-11-28
P0283,Fashion Accessories Product 283,Fashion,Accessories,Nova,4906,3165.21,2025-01-09
