order_item_id,order_id,product_id,quantity,unit_price,discount_percent,cost_price,revenue,cost,profit
OI0000040,O000029,P0163,1,15673,14.18,10745.44,13450.36,10745.44,2704.92
OI0000041,O000030,P0253,1,3774,14.61,2775.0,3222.77,2775.0,447.77
OI0000042,O000031,P0081,1,32196,11.06,18095.55,28635.56,18095.55,10540.01
OI0000043,O000032,P0079,2,3105,7.88,1866.78,5720.54,3733.56,1986.98
OI0000044,O000033,P0275,1,6815,2.36,5136.96,6654.29,5136.96,1517.33
OI0000045,O000034,P0106,1,6310,7.02,3297.55,5866.79,3297.55,2569.24
OI0000046,O000034,P0251,1,1117,7.68,827.72,1031.18,827.72,203.46
OI0000047,O000035,P0291,2,2545,5.25,1977.74,4822.65,3955.48,867.17
OI0000048,O000036,P0474,2,3946,8.91,2401.41,7188.79,4802.82,2385.97
OI0000049,O000037,P0348,1,3735,6.46,2269.11,3493.76,2269.11,1224.65
OI0000050,O000038,P0392,1,2985,10.58,2183.35,2669.12,2183.35,485.77
OI0000051,O000039,P0421,1,1555,2.02,1208.27,1523.51,1208.27,315.24
OI0000052,O000039,P0277,1,2562,7.64,1610.19,2366.14,1610.19,755.95
OI0000053,O000040,P0419,1,9582,10.26,7417.15,8598.7,7417.15,1181.55
OI0000054,O000040,P0043,1,27507,11.39,19226.19,24373.35,19226.19,5147.16
OI0000055,O000041,P0166,2,8059,8.02,4814.97,14825.15,9629.94,5195.21
OI0000056,O000041,P0477,1,6112,7.16,4477.87,5674.62,4477.87,1196.75
OI0000057,O000042,P0154,1,6853,4.81,5271.85,6523.7,5271.85,1251.85
OI0000058,O000043,P0233,1,4272,6.56,2736.79,3991.67,2736.79,1254.88
OI0000059,O000043,P0022,1,13901,13.15,10036.93,12073.37,10036.93,2036.44
OI0000060,O000043,P0390,3,863,12.99,440.1,2252.71,1320.3,932.41
OI0000061,O000044,P0142,1,2653,7.42,1701.33,2456.08,1701.33,754.75
OI0000062,O000045,P0187,1,1935,12.51,988.01,1692.92,988.01,704.91
OI0000063,O000045,P0028,1,15778,12.4,11665.62,13821.81,11665.62,2156.19
OI0000064,O000046,P0401,2,3659,8.05,2484.35,6728.73,4968.7,1760.03
OI0000065,O000047,P0351,1,2347,13.07,1810.17,2040.3,1810.17,230.13
OI0000066,O000048,P0087,1,15659,3.86,10759.42,15054.39,10759.42,4294.97
OI0000067,O000048,P0454,1,10808,4.3,6903.81,10343.71,6903.81,3439.9
OI0000068,O000049,P0402,1,1686,8.05,1058.07,1550.35,1058.07,492.28
OI0000069,O000050,P0305,2,3763,10.1,2522.57,6766.02,5045.14,1720.88
OI0000070,O000050,P0274,1,5575,9.73,3692.67,5032.36,3692.67,1339.69
OI0000071,O000050,P0130,1,4126,11.55,2608.55,3649.37,2608.55,1040.82
OI0000072,O000051,P0371,1,2562,5.25,1690.21,2427.55,1690.21,737.34
OI0000073,O000051,P0178,1,15968,13.61,10810.91,13795.3,10810.91,2984.39
OI0000074,O000052,P0043,1,27507,14.2,19226.19,23600.67,19226.19,4374.48
OI0000075,O000053,P0343,1,2419,10.72,1510.15,2159.79,1510.15,649.64
OI0000076,O000054,P0191,2,13560,7.39,7502.36,25115.06,15004.72,10110.34
OI0000077,O000055,P0369,1,3413,3.67,1833.54,3287.89,1833.54,1454.35
OI0000078,O000055,P0100,1,18648,3.32,10804.92,18028.88,10804.92,7223.96
OI0000079,O000056,P0450,1,11688,3.85,7921.36,11238.51,7921.36,3317.15
OI0000080,O000057,P0344,2,532,13.42,342.53,921.2,685.06,236.14
OI0000081,O000057,P0437,1,8649,14.85,5966.61,7364.39,5966.61,1397.78
OI0000082,O000058,P0485,1,8361,12.89,5725.05,7282.93,5725.05,1557.88
OI0000083,O000059,P0138,1,2884,14.44,1556.27,2467.57,1556.27,911.3
OI0000084,O000059,P0424,1,2577,3.99,1777.07,2474.08,1777.07,697.01
OI0000085,O000060,P0040,1,13124,20.42,7112.07,10443.47,7112.07,3331.4
OI0000086,O000061,P0158,1,833,7.56,490.73,770.06,490.73,279.33
OI0000087,O000061,P0315,1,1850,9.38,1136.09,1676.43,1136.09,540.34
OI0000088,O000061,P0178,1,15968,12.63,10810.91,13951.84,10810.91,3140.93
OI0000089,O000062,P0302,2,1327,3.12,880.91,2571.31,1761.82,809.49
OI0000090,O000063,P0277,1,2562,8.82,1610.19,2335.95,1610.19,725.76
OI0000091,O000064,P0493,1,3209,11.79,2123.17,2830.64,2123.17,707.47
OI0000092,O000064,P0272,1,2584,14.24,1612.53,2215.92,1612.53,603.39
OI0000093,O000065,P0361,1,3648,11.87,2490.15,3214.96,2490.15,724.81
OI0000094,O000065,P0128,1,10758,7.46,5594.17,9955.39,5594.17,4361.22
OI0000095,O000066,P0366,2,1420,6.09,995.98,2666.9,1991.96,674.94
OI0000096,O000067,P0067,1,24727,12.93,13718.5,21528.62,13718.5,7810.12
OI0000097,O000068,P0232,1,5757,10.02,3381.09,5180.16,3381.09,1799.07
OI0000098,O000068,P0039,1,26429,8.46,18796.06,24192.47,18796.06,5396.41
OI0000099,O000069,P0316,1,4816,4.82,3391.01,4583.82,3391.01,1192.81
OI0000100,O000069,P0321,1,2492,10.12,1383.7,2239.71,1383.7,856.01
OI0000101,O000069,P0475,1,3687,2.86,2117.8,3581.68,2117.8,1463.88
OI0000102,O000070,P0226,1,5257,3.02,3489.41,5098.14,3489.41,1608.73
OI0000103,O000070,P0195,1,15728,4.69,12205.15,14990.06,12205.15,2784.91
OI0000104,O000070,P0473,1,11643,4.9,6635.87,11072.69,6635.87,4436.82
OI0000105,O000071,P0407,1,7304,9.54,4016.7,6606.96,4016.7,2590.26
OI0000106,O000072,P0236,1,3371,14.38,2624.54,2886.15,2624.54,261.61
OI0000107,O000073,P0484,1,7501,14.36,5703.38,6423.55,5703.38,720.17
OI0000108,O000074,P0108,1,12828,8.57,9791.6,11728.97,9791.6,1937.37
OI0000109,O000075,P0345,1,4620,13.51,2688.52,3995.76,2688.52,1307.24
OI0000110,O000076,P0047,1,1545,3.72,836.91,1487.57,836.91,650.66
OI0000111,O000077,P0334,1,2270,12.31,1220.99,1990.47,1220.99,769.48
OI0000112,O000078,P0096,1,3328,17.57,2250.65,2743.22,2250.65,492.57
OI0000113,O000078,P0095,1,6180,19.36,4416.25,4983.56,4416.25,567.31
OI0000114,O000078,P0486,2,9160,3.93,6625.06,17599.45,13250.12,4349.33
OI0000115,O000079,P0103,2,1790,3.68,1378.19,3448.19,2756.38,691.81
OI0000116,O000080,P0350,1,3566,4.02,2087.87,3422.74,2087.87,1334.87
OI0000117,O000081,P0351,2,2347,9.68,1810.17,4239.79,3620.34,619.45
OI0000118,O000082,P0168,1,2761,5.36,2099.62,2613.12,2099.62,513.5
OI0000119,O000083,P0163,1,15673,12.19,10745.44,13762.45,10745.44,3017.01
OI0000120,O000084,P0050,1,17723,4.17,10606.5,16983.73,10606.5,6377.23
OI0000121,O000085,P0111,1,17704,9.58,13161.0,16008.74,13161.0,2847.74
OI0000122,O000086,P0403,1,11547,13.22,7116.1,10020.62,7116.1,2904.52
OI0000123,O000087,P0251,2,1117,11.65,827.72,1973.68,1655.44,318.24
OI0000124,O000088,P0156,1,2828,13.57,2146.32,2444.32,2146.32,298.0
OI0000125,O000089,P0194,1,5647,9.03,3682.39,5136.88,3682.39,1454.49
OI0000126,O000090,P0242,1,3979,5.95,2853.39,3742.33,2853.39,888.94
OI0000127,O000090,P0170,1,9400,9.8,6266.85,8479.27,6266.85,2212.42
OI0000128,O000091,P0123,1,14025,8.2,9441.16,12875.47,9441.16,3434.31
OI0000129,O000092,P0117,1,7229,8.22,4433.33,6634.55,4433.33,2201.22
OI0000130,O000093,P0136,2,13679,11.78,9425.15,24134.95,18850.3,5284.65
OI0000131,O000093,P0409,1,10271,5.89,7672.26,9666.52,7672.26,1994.26
OI0000132,O000094,P0363,1,3316,6.22,1725.45,3109.69,1725.45,1384.24
OI0000133,O000094,P0421,1,1555,3.15,1208.27,1506.07,1208.27,297.8
OI0000134,O000095,P0006,2,25625,29.25,13790.34,36259.14,27580.68,8678.46
OI0000135,O000096,P0330,2,4061,14.82,2461.73,6918.13,4923.46,1994.67
OI0000136,O000097,P0377,1,4342,12.43,2580.14,3802.16,2580.14,1222.02
OI0000137,O000098,P0203,1,6150,12.78,4017.86,5364.05,4017.86,1346.19
OI0000138,O000099,P0286,1,1800,8.07,1168.1,1654.65,1168.1,486.55
OI0000139,O000099,P0110,1,4331,10.72,2815.47,3866.9,2815.47,1051.43
OI0000140,O000100,P0267,1,6999,2.45,4042.45,6827.38,4042.45,2784.93
OI0000141,O000100,P0253,1,3774,6.96,2775.0,3511.3,2775.0,736.3
OI0000142,O000101,P0001,1,25522,12.45,17826.12,22343.37,17826.12,4517.25
OI0000143,O000102,P0117,1,7229,11.73,4433.33,6381.31,4433.33,1947.98
OI0000144,O000102,P0384,2,4938,11.63,2859.16,8727.45,5718.32,3009.13
OI0000145,O000103,P0216,1,2334,4.28,1738.45,2234.11,1738.45,495.66
OI0000146,O000104,P0064,3,13505,16.21,8756.91,33947.22,26270.73,7676.49
OI0000147,O000104,P0443,1,8611,4.9,6256.54,8189.34,6256.54,1932.8
OI0000148,O000105,P0055,1,10741,7.68,6373.33,9916.34,6373.33,3543.01
OI0000149,O000106,P0090,1,24105,19.46,17401.56,19413.42,17401.56,2011.86
OI0000150,O000107,P0425,1,8842,10.0,6706.89,7958.13,6706.89,1251.24
OI0000151,O000108,P0494,1,5361,6.76,3672.07,4998.61,3672.07,1326.54
OI0000152,O000109,P0272,1,2584,7.92,1612.53,2379.42,1612.53,766.89
OI0000153,O000110,P0485,1,8361,4.72,5725.05,7966.76,5725.05,2241.71
OI0000154,O000111,P0173,1,10464,11.54,5320.86,9256.22,5320.86,3935.36
OI0000155,O000112,P0417,1,7726,9.06,5899.72,7026.01,5899.72,1126.29
OI0000156,O000113,P0031,1,33429,11.4,23902.03,29619.28,23902.03,5717.25
OI0000157,O000114,P0372,2,3003,7.0,1532.92,5585.8,3065.84,2519.96
OI0000158,O000114,P0069,1,10430,4.13,7833.14,9999.73,7833.14,2166.59
OI0000159,O000115,P0004,1,14544,6.83,7401.91,13551.1,7401.91,6149.19
OI0000160,O000116,P0262,2,1864,4.57,1181.18,3557.57,2362.36,1195.21
OI0000161,O000116,P0380,1,3520,4.85,2676.87,3349.23,2676.87,672.36
OI0000162,O000116,P0428,1,3545,14.03,2680.26,3047.66,2680.26,367.4
OI0000163,O000117,P0408,1,10802,14.64,8388.48,9220.33,8388.48,831.85
OI0000164,O000118,P0107,1,4397,14.26,2995.71,3770.12,2995.71,774.41
OI0000165,O000119,P0046,1,9919,9.07,7510.66,9019.27,7510.66,1508.61
OI0000166,O000119,P0193,1,2568,2.94,1797.52,2492.63,1797.52,695.11
OI0000167,O000119,P0195,1,15728,14.82,12205.15,13397.33,12205.15,1192.18
OI0000168,O000120,P0149,1,11772,6.34,6745.51,11026.04,6745.51,4280.53
OI0000169,O000121,P0357,1,3977,11.74,2679.49,3510.25,2679.49,830.76
OI0000170,O000122,P0154,1,6853,12.9,5271.85,5968.94,5271.85,697.09
OI0000171,O000122,P0042,2,13351,14.68,7544.84,22782.6,15089.68,7692.92
OI0000172,O000122,P0259,1,6327,4.03,3911.84,6071.72,3911.84,2159.88
OI0000173,O000123,P0381,1,4024,5.58,3126.22,3799.48,3126.22,673.26
OI0000174,O000124,P0061,2,3840,5.71,2007.93,7241.31,4015.86,3225.45
OI0000175,O000125,P0054,1,5555,10.64,2815.17,4964.06,2815.17,2148.89
OI0000176,O000126,P0120,1,3399,3.16,2516.59,3291.43,2516.59,774.84
OI0000177,O000126,P0475,1,3687,9.7,2117.8,3329.23,2117.8,1211.43
OI0000178,O000127,P0315,1,1850,13.47,1136.09,1600.75,1136.09,464.66
OI0000179,O000128,P0378,1,1457,8.95,744.85,1326.53,744.85,581.68
OI0000180,O000128,P0121,1,2994,13.06,1687.02,2602.89,1687.02,915.87
OI0000181,O000129,P0419,1,9582,8.16,7417.15,8800.2,7417.15,1383.05
OI0000182,O000130,P0455,1,6531,10.98,3455.55,5813.85,3455.55,2358.3
OI0000183,O000130,P0285,1,4522,3.3,3001.86,4372.55,3001.86,1370.69
OI0000184,O000130,P0303,1,4034,13.0,2961.07,3509.44,2961.07,548.37
OI0000185,O000131,P0414,1,4497,12.46,3202.42,3936.6,3202.42,734.18
OI0000186,O000132,P0212,2,5229,8.86,2833.96,9530.93,5667.92,3863.01
OI0000187,O000133,P0037,2,870,12.73,604.3,1518.49,1208.6,309.89
OI0000188,O000134,P0355,1,942,6.19,726.86,883.72,726.86,156.86
OI0000189,O000135,P0312,2,498,4.92,311.49,946.95,622.98,323.97
OI0000190,O000136,P0001,2,25522,2.63,17826.12,49701.86,35652.24,14049.62
OI0000191,O000137,P0399,1,4555,10.12,2420.89,4094.16,2420.89,1673.27
OI0000192,O000138,P0162,1,3406,14.16,1861.72,2923.75,1861.72,1062.03
OI0000193,O000139,P0072,2,22561,2.67,13652.54,43918.93,27305.08,16613.85
OI0000194,O000140,P0265,2,5758,12.99,2959.42,10020.15,5918.84,4101.31
OI0000195,O000140,P0117,1,7229,3.71,4433.33,6960.47,4433.33,2527.14
OI0000196,O000140,P0123,1,14025,14.05,9441.16,12054.51,9441.16,2613.35
OI0000197,O000141,P0184,2,10282,14.59,6925.34,17563.3,13850.68,3712.62
OI0000198,O000142,P0142,1,2653,12.97,1701.33,2308.78,1701.33,607.45
OI0000199,O000142,P0425,2,8842,6.18,6706.89,16591.23,13413.78,3177.45
OI0000200,O000143,P0356,1,4749,5.42,3267.41,4491.5,3267.41,1224.09
OI0000201,O000144,P0073,1,29669,7.24,17851.49,27520.65,17851.49,9669.16
OI0000202,O000145,P0275,1,6815,8.34,5136.96,6246.46,5136.96,1109.5
OI0000203,O000146,P0076,1,27548,7.62,19543.67,25448.05,19543.67,5904.38
OI0000204,O000146,P0418,1,8774,5.71,6711.38,8272.73,6711.38,1561.35
OI0000205,O000146,P0457,1,5252,9.29,3671.03,4763.86,3671.03,1092.83
OI0000206,O000147,P0270,2,1227,6.22,842.79,2301.41,1685.58,615.83
OI0000207,O000148,P0101,1,10390,6.79,7456.13,9684.05,7456.13,2227.92
OI0000208,O000148,P0490,2,5990,5.82,3820.79,11282.71,7641.58,3641.13
OI0000209,O000149,P0293,1,3418,3.55,2449.73,3296.76,2449.73,847.03
OI0000210,O000149,P0439,1,11434,4.66,8780.58,10900.98,8780.58,2120.4
OI0000211,O000150,P0233,2,4272,2.0,2736.79,8372.9,5473.58,2899.32
OI0000212,O000151,P0009,1,32404,2.02,22309.51,31750.32,22309.51,9440.81
OI0000213,O000152,P0169,1,4159,9.84,3095.69,3749.91,3095.69,654.22
OI0000214,O000153,P0199,1,14205,9.43,8235.25,12865.6,8235.25,4630.35
OI0000215,O000154,P0329,1,2045,2.56,1242.12,1992.68,1242.12,750.56
OI0000216,O000154,P0152,1,2684,11.44,1599.83,2376.89,1599.83,777.06
OI0000217,O000155,P0139,1,6481,11.12,4279.31,5760.15,4279.31,1480.84
OI0000218,O000156,P0413,2,8226,6.84,4410.87,15326.19,8821.74,6504.45
OI0000219,O000156,P0068,1,34574,10.73,17556.35,30864.76,17556.35,13308.41
OI0000220,O000156,P0469,1,11372,12.47,7457.15,9953.95,7457.15,2496.8
OI0000221,O000157,P0184,1,10282,5.4,6925.34,9727.13,6925.34,2801.79
OI0000222,O000157,P0133,1,3332,7.95,2583.15,3067.0,2583.15,483.85
OI0000223,O000158,P0454,1,10808,13.29,6903.81,9371.55,6903.81,2467.74
OI0000224,O000159,P0439,2,11434,13.24,8780.58,19840.47,17561.16,2279.31
OI0000225,O000160,P0053,2,4815,13.03,2665.45,8375.16,5330.9,3044.26
OI0000226,O000161,P0020,1,7194,11.47,4360.85,6368.96,4360.85,2008.11
OI0000227,O000161,P0129,1,7880,14.28,5295.51,6754.59,5295.51,1459.08
OI0000228,O000161,P0252,1,6137,2.88,3493.46,5960.11,3493.46,2466.65
OI0000229,O000162,P0406,1,11985,2.29,9224.72,11710.97,9224.72,2486.25
OI0000230,O000163,P0209,1,5217,14.67,3604.79,4451.6,3604.79,846.81
OI0000231,O000164,P0043,1,27507,24.96,19226.19,20640.59,19226.19,1414.4
OI0000232,O000165,P0083,1,2507,6.79,1541.22,2336.85,1541.22,795.63
OI0000233,O000166,P0333,1,4120,12.77,2123.28,3593.83,2123.28,1470.55
OI0000234,O000167,P0442,1,9355,3.53,5850.0,9024.58,5850.0,3174.58
OI0000235,O000168,P0117,1,7229,4.06,4433.33,6935.78,4433.33,2502.45
OI0000236,O000169,P0376,1,2606,7.56,1643.48,2408.93,1643.48,765.45
OI0000237,O000170,P0035,1,27199,8.47,17128.95,24896.25,17128.95,7767.3
OI0000238,O000171,P0413,1,8226,2.04,4410.87,8058.4,4410.87,3647.53
OI0000239,O000171,P0120,2,3399,11.52,2516.59,6014.7,5033.18,981.52
OI0000240,O000172,P0054,1,5555,27.53,2815.17,4025.88,2815.17,1210.71
OI0000241,O000173,P0044,1,6906,4.12,4053.1,6621.19,4053.1,2568.09
OI0000242,O000173,P0196,2,901,12.52,541.85,1576.46,1083.7,492.76
OI0000243,O000173,P0164,1,17779,9.01,9870.79,16176.52,9870.79,6305.73
OI0000244,O000174,P0270,1,1227,12.84,842.79,1069.46,842.79,226.67
OI0000245,O000175,P0467,1,2786,14.23,2058.89,2389.63,2058.89,330.74
OI0000246,O000176,P0426,1,829,9.08,555.52,753.73,555.52,198.21
OI0000247,O000176,P0481,1,10247,4.35,6109.76,9801.12,6109.76,3691.36
OI0000248,O000177,P0385,1,4653,6.7,2865.9,4341.04,2865.9,1475.14
OI0000249,O000178,P0053,1,4815,11.93,2665.45,4240.72,2665.45,1575.27
OI0000250,O000178,P0196,1,901,11.01,541.85,801.81,541.85,259.96
OI0000251,O000179,P0336,1,2773,13.08,1601.16,2410.34,1601.16,809.18
OI0000252,O000179,P0374,2,4420,13.57,2555.04,7640.78,5110.08,2530.7
OI0000253,O000180,P0444,1,1861,7.18,1217.43,1727.35,1217.43,509.92
OI0000254,O000181,P0224,1,1990,7.49,1182.26,1840.97,1182.26,658.71
OI0000255,O000182,P0266,1,4234,8.61,2180.37,3869.56,2180.37,1689.19
OI0000256,O000182,P0457,1,5252,6.89,3671.03,4890.25,3671.03,1219.22
OI0000257,O000183,P0182,1,13527,14.36,9749.7,11584.32,9749.7,1834.62
OI0000258,O000184,P0253,2,3774,11.73,2775.0,6662.73,5550.0,1112.73
OI0000259,O000185,P0141,1,17842,3.27,11011.66,17258.28,11011.66,6246.62
OI0000260,O000186,P0090,1,24105,4.17,17401.56,23098.86,17401.56,5697.3
OI0000261,O000187,P0014,1,10471,13.62,7682.25,9044.4,7682.25,1362.15
OI0000262,O000187,P0020,1,7194,4.26,4360.85,6887.65,4360.85,2526.8
OI0000263,O000188,P0170,1,9400,4.84,6266.85,8944.84,6266.85,2677.99
OI0000264,O000188,P0362,1,3100,13.39,1610.58,2685.04,1610.58,1074.46
OI0000265,O000189,P0406,1,11985,9.9,9224.72,10798.94,9224.72,1574.22
OI0000266,O000190,P0003,1,7255,14.24,3641.89,6221.6,3641.89,2579.71
OI0000267,O000191,P0034,1,21175,11.34,15399.62,18774.34,15399.62,3374.72
OI0000268,O000191,P0246,2,3385,7.41,2047.49,6268.48,4094.98,2173.5
OI0000269,O000192,P0106,1,6310,5.77,3297.55,5945.66,3297.55,2648.11
OI0000270,O000192,P0354,2,2474,8.65,1859.59,4520.06,3719.18,800.88
OI0000271,O000193,P0272,1,2584,3.17,1612.53,2502.21,1612.53,889.68
OI0000272,O000194,P0290,2,5130,2.45,2706.65,10008.58,5413.3,4595.28
OI0000273,O000195,P0258,1,6244,11.77,4634.93,5509.38,4634.93,874.45
OI0000274,O000196,P0213,1,5589,13.26,4159.54,4847.88,4159.54,688.34
OI0000275,O000197,P0240,2,366,8.73,188.53,668.1,377.06,291.04
OI0000276,O000197,P0379,1,476,9.25,249.45,431.95,249.45,182.5
OI0000277,O000197,P0096,3,3328,7.97,2250.65,9188.67,6751.95,2436.72
OI0000278,O000198,P0094,1,16635,29.87,11811.15,11666.64,11811.15,-144.51
OI0000279,O000198,P0145,1,15268,2.72,11729.23,14852.09,11729.23,3122.86
OI0000280,O000199,P0197,1,6718,6.53,4429.4,6279.15,4429.4,1849.75
OI0000281,O000200,P0421,2,1555,6.25,1208.27,2915.58,2416.54,499.04
OI0000282,O000201,P0321,1,2492,13.16,1383.7,2164.0,1383.7,780.3
OI0000283,O000202,P0261,1,337,6.57,250.74,314.86,250.74,64.12
OI0000284,O000203,P0200,1,12810,8.27,8916.91,11750.36,8916.91,2833.45
OI0000285,O000203,P0467,2,2786,12.23,2058.89,4890.64,4117.78,772.86
OI0000286,O000204,P0089,1,14645,27.71,9967.65,10586.82,9967.65,619.17
OI0000287,O000205,P0470,1,5623,4.19,3099.44,5387.25,3099.44,2287.81
OI0000288,O000205,P0280,3,2253,2.49,1351.49,6591.01,4054.47,2536.54
OI0000289,O000206,P0061,1,3840,6.47,2007.93,3591.6,2007.93,1583.67
OI0000290,O000207,P0015,2,13561,3.1,9273.98,26280.55,18547.96,7732.59
OI0000291,O000207,P0292,2,510,3.71,326.98,982.16,653.96,328.2
OI0000292,O000208,P0198,1,15694,6.36,8637.08,14695.86,8637.08,6058.78
OI0000293,O000208,P0454,2,10808,14.15,6903.81,18557.21,13807.62,4749.59
OI0000294,O000209,P0249,1,3813,9.8,2934.82,3439.14,2934.82,504.32
OI0000295,O000209,P0357,1,3977,7.25,2679.49,3688.77,2679.49,1009.28
OI0000296,O000210,P0338,1,523,8.32,399.08,479.51,399.08,80.43
OI0000297,O000210,P0479,2,4661,5.07,3551.9,8849.63,7103.8,1745.83
OI0000298,O000211,P0089,1,14645,8.66,9967.65,13377.36,9967.65,3409.71
OI0000299,O000212,P0424,1,2577,13.23,1777.07,2236.01,1777.07,458.94
OI0000300,O000213,P0205,1,812,9.15,480.63,737.71,480.63,257.08
OI0000301,O000213,P0135,3,6224,2.07,4122.43,18286.33,12367.29,5919.04
OI0000302,O000214,P0378,1,1457,8.64,744.85,1331.08,744.85,586.23
OI0000303,O000215,P0067,2,24727,14.62,13718.5,42225.87,27437.0,14788.87
OI0000304,O000216,P0444,3,1861,3.6,1217.43,5382.2,3652.29,1729.91
OI0000305,O000216,P0018,1,17638,14.65,13051.38,15054.17,13051.38,2002.79
OI0000306,O000217,P0046,1,9919,12.77,7510.66,8652.8,7510.66,1142.14
OI0000307,O000218,P0498,1,1669,9.71,879.29,1506.97,879.29,627.68
OI0000308,O000218,P0286,1,1800,12.47,1168.1,1575.48,1168.1,407.38
OI0000309,O000219,P0338,1,523,4.68,399.08,498.51,399.08,99.43
OI0000310,O000220,P0482,2,11881,11.45,6951.35,21042.3,13902.7,7139.6
OI0000311,O000221,P0165,1,4924,11.94,2978.71,4336.3,2978.71,1357.59
OI0000312,O000222,P0128,2,10758,2.49,5594.17,20980.23,11188.34,9791.89
OI0000313,O000223,P0352,2,2393,9.16,1307.91,4347.75,2615.82,1731.93
OI0000314,O000224,P0404,1,7221,3.29,5439.37,6983.77,5439.37,1544.4
OI0000315,O000225,P0362,1,3100,13.92,1610.58,2668.58,1610.58,1058.0
OI0000316,O000225,P0049,1,8117,4.46,4536.51,7754.7,4536.51,3218.19
OI0000317,O000226,P0272,1,2584,9.66,1612.53,2334.35,1612.53,721.82
OI0000318,O000226,P0485,1,8361,9.54,5725.05,7563.26,5725.05,1838.21
OI0000319,O000227,P0195,1,15728,14.15,12205.15,13502.48,12205.15,1297.33
OI0000320,O000227,P0380,1,3520,14.48,2676.87,3010.25,2676.87,333.38
OI0000321,O000228,P0323,1,493,6.95,261.97,458.73,261.97,196.76
OI0000322,O000229,P0089,1,14645,18.48,9967.65,11938.58,9967.65,1970.93
OI0000323,O000229,P0361,1,3648,13.48,2490.15,3156.17,2490.15,666.02
OI0000324,O000230,P0319,1,3186,9.34,1604.01,2888.43,1604.01,1284.42
OI0000325,O000230,P0412,1,6787,12.65,4631.42,5928.47,4631.42,1297.05
OI0000326,O000231,P0449,1,11860,11.02,9247.78,10553.43,9247.78,1305.65
OI0000327,O000231,P0348,1,3735,12.45,2269.11,3269.85,2269.11,1000.74
OI0000328,O000232,P0232,2,5757,8.47,3381.09,10538.86,6762.18,3776.68
