inventory_id,product_id,date,opening_stock,units_received,units_sold,closing_stock,reorder_level
INV0000261,P0261,2026-01-01,133,140,160,113,72
INV0000262,P0262,2026-01-01,104,87,21,170,50
INV0000263,P0263,2026-01-01,64,237,121,180,54
INV0000264,P0264,2026-01-01,578,176,157,597,70
INV0000265,P0265,2026-01-01,52,40,138,0,62
INV0000266,P0266,2026-01-01,160,143,23,280,50
INV0000267,P0267,2026-01-01,552,27,12,567,50
INV0000268,P0268,2026-01-01,221,128,148,201,66
INV0000269,P0269,2026-01-01,62,185,125,122,56
INV0000270,P0270,2026-01-01,513,338,30,821,50
INV0000271,P0271,2026-01-01,233,330,46,517,50
INV0000272,P0272,2026-01-01,284,222,130,376,58
INV0000273,P0273,2026-01-01,72,142,170,44,76
INV0000274,P0274,2026-01-01,472,105,86,491,50
INV0000275,P0275,2026-01-01,180,372,18,534,50
INV0000276,P0276,2026-01-01,238,174,81,331,50
INV0000277,P0277,2026-01-01,280,351,83,548,50
INV0000278,P0278,2026-01-01,319,19,78,260,50
INV0000279,P0279,2026-01-01,64,129,96,97,50
INV0000280,P0280,2026-01-01,422,5,162,265,72
INV0000281,P0281,2026-01-01,302,95,81,316,50
INV0000282,P0282,2026-01-01,336,17,136,217,61
INV0000283,P0283,2026-01-01,253,65,85,233,50
INV0000284,P0284,2026-01-01,522,2,51,473,50
INV0000285,P0285,2026-01-01,423,29,54,398,50
INV0000286,P0286,2026-01-01,653,387,96,944,50
INV0000287,P0287,2026-01-01,61,158,147,72,66
INV0000288,P0288,2026-01-01,636,171,108,699,50
INV0000289,P0289,2026-01-01,344,257,8,593,50
INV0000290,P0290,2026-01-01,112,226,137,201,61
INV0000291,P0291,2026-01-01,328,270,125,473,56
INV0000292,P0292,2026-01-01,516,157,50,623,50
INV0000293,P0293,2026-01-01,452,258,41,669,50
INV0000294,P0294,2026-01-01,411,4,83,332,50
INV0000295,P0295,2026-01-01,516,340,29,827,50
INV0000296,P0296,2026-01-01,198,256,83,371,50
INV0000297,P0297,2026-01-01,625,86,106,605,50
INV0000298,P0298,2026-01-01,370,80,73,377,50
INV0000299,P0299,2026-01-01,635,39,152,522,68
INV0000300,P0300,2026-01-01,451,24,173,302,77
INV0000301,P0301,2026-01-01,389,278,82,585,50
INV0000302,P0302,2026-01-01,507,144,9,642,50
INV0000303,P0303,2026-01-01,524,32,125,431,56
INV0000304,P0304,2026-01-01,94,125,62,157,50
INV0000305,P0305,2026-01-01,351,141,30,462,50
INV0000306,P0306,2026-01-01,542,38,94,486,50
INV0000307,P0307,2026-01-01,554,270,8,816,50
INV0000308,P0308,2026-01-01,444,209,39,614,50
INV0000309,P0309,2026-01-01,189,144,49,284,50
INV0000310,P0310,2026-01-01,508,89,78,519,50
INV0000311,P0311,2026-01-01,69,41,153,0,68
INV0000312,P0312,2026-01-01,624,212,145,691,65
INV0000313,P0313,2026-01-01,312,384,7,689,50
INV0000314,P0314,2026-01-01,115,49,125,39,56
INV0000315,P0315,2026-01-01,604,268,84,788,50
INV0000316,P0316,2026-01-01,466,333,94,705,50
INV0000317,P0317,2026-01-01,538,298,115,721,51
INV0000318,P0318,2026-01-01,75,4,108,0,50
INV0000319,P0319,2026-01-01,234,137,100,271,50
INV0000320,P0320,2026-01-01,173,266,20,419,50
INV0000321,P0321,2026-01-01,253,316,148,421,66
INV0000322,P0322,2026-01-01,317,147,58,406,50
INV0000323,P0323,2026-01-01,261,141,149,253,67
INV0000324,P0324,2026-01-01,62,296,101,257,50
INV0000325,P0325,2026-01-01,139,111,136,114,61
INV0000326,P0326,2026-01-01,291,229,113,407,50
INV0000327,P0327,2026-01-01,617,358,52,923,50
INV0000328,P0328,2026-01-01,553,389,80,862,50
INV0000329,P0329,2026-01-01,104,246,42,308,50
INV0000330,P0330,2026-01-01,90,176,140,126,63
INV0000331,P0331,2026-01-01,230,12,64,178,50
INV0000332,P0332,2026-01-01,479,208,95,592,50
INV0000333,P0333,2026-01-01,355,203,100,458,50
INV0000334,P0334,2026-01-01,91,184,135,140,60
INV0000335,P0335,2026-01-01,628,102,106,624,50
INV0000336,P0336,2026-01-01,113,165,36,242,50
INV0000337,P0337,2026-01-01,497,307,96,708,50
INV0000338,P0338,2026-01-01,459,290,17,732,50
INV0000339,P0339,2026-01-01,139,361,30,470,50
INV0000340,P0340,2026-01-01,594,321,138,777,62
INV0000341,P0341,2026-01-01,135,161,42,254,50
INV0000342,P0342,2026-01-01,109,352,112,349,50
INV0000343,P0343,2026-01-01,567,52,164,455,73
INV0000344,P0344,2026-01-01,667,216,122,761,54
INV0000345,P0345,2026-01-01,167,86,62,191,50
INV0000346,P0346,2026-01-01,620,399,143,876,64
INV0000347,P0347,2026-01-01,437,7,105,339,50
INV0000348,P0348,2026-01-01,341,86,32,395,50
INV0000349,P0349,2026-01-01,460,330,112,678,50
INV0000350,P0350,2026-01-01,680,379,53,1006,50
INV0000351,P0351,2026-01-01,192,349,144,397,64
INV0000352,P0352,2026-01-01,299,28,113,214,50
INV0000353,P0353,2026-01-01,393,329,163,559,73
INV0000354,P0354,2026-01-01,285,233,154,364,69
INV0000355,P0355,2026-01-01,557,380,148,789,66
INV0000356,P0356,2026-01-01,247,393,32,608,50
INV0000357,P0357,2026-01-01,472,24,44,452,50
INV0000358,P0358,2026-01-01,410,306,98,618,50
INV0000359,P0359,2026-01-01,505,122,154,473,69
INV0000360,P0360,2026-01-01,243,337,129,451,58
INV0000361,P0361,2026-01-01,187,266,46,407,50
INV0000362,P0362,2026-01-01,411,287,169,529,76
INV0000363,P0363,2026-01-01,386,165,114,437,51
INV0000364,P0364,2026-01-01,231,165,136,260,61
INV0000365,P0365,2026-01-01,567,90,52,605,50
INV0000366,P0366,2026-01-01,569,107,178,498,80
INV0000367,P0367,2026-01-01,668,184,16,836,50
INV0000368,P0368,2026-01-01,577,183,60,700,50
INV0000369,P0369,2026-01-01,387,291,81,597,50
INV0000370,P0370,2026-01-01,513,89,5,597,50
INV0000371,P0371,2026-01-01,520,255,119,656,53
INV0000372,P0372,2026-01-01,207,195,149,253,67
INV0000373,P0373,2026-01-01,492,25,56,461,50
INV0000374,P0374,2026-01-01,454,327,21,760,50
INV0000375,P0375,2026-01-01,548,158,176,530,79
INV0000376,P0376,2026-01-01,227,130,94,263,50
INV0000377,P0377,2026-01-01,277,95,168,204,75
INV0000378,P0378,2026-01-01,689,313,127,875,57
INV0000379,P0379,2026-01-01,227,234,58,403,50
INV0000380,P0380,2026-01-01,78,393,162,309,72
INV0000381,P0381,2026-01-01,62,141,163,40,73
INV0000382,P0382,2026-01-01,679,379,46,1012,50
INV0000383,P0383,2026-01-01,50,398,77,371,50
INV0000384,P0384,2026-01-01,246,309,102,453,50
INV0000385,P0385,2026-01-01,108,185,156,137,70
INV0000386,P0386,2026-01-01,59,232,142,149,63
INV0000387,P0387,2026-01-01,423,398,89,732,50
INV0000388,P0388,2026-01-01,108,2,179,0,80
INV0000389,P0389,2026-01-01,494,117,93,518,50
INV0000390,P0390,2026-01-01,114,291,10,395,50
INV0000391,P0391,2026-01-01,470,310,151,629,67
INV0000392,P0392,2026-01-01,429,314,96,647,50
INV0000393,P0393,2026-01-01,323,368,148,543,66
INV0000394,P0394,2026-01-01,472,363,122,713,54
INV0000395,P0395,2026-01-01,387,15,68,334,50
INV0000396,P0396,2026-01-01,631,339,53,917,50
INV0000397,P0397,2026-01-01,652,329,18,963,50
INV0000398,P0398,2026-01-01,585,188,49,724,50
INV0000399,P0399,2026-01-01,400,263,73,590,50
INV0000400,P0400,2026-01-01,257,30,72,215,50
INV0000401,P0401,2026-01-01,299,27,46,280,50
INV0000402,P0402,2026-01-01,140,187,86,241,50
INV0000403,P0403,2026-01-01,245,266,167,344,75
INV0000404,P0404,2026-01-01,143,250,162,231,72
INV0000405,P0405,2026-01-01,617,73,110,580,50
INV0000406,P0406,2026-01-01,345,31,178,198,80
INV0000407,P0407,2026-01-01,193,237,45,385,50
INV0000408,P0408,2026-01-01,194,272,162,304,72
INV0000409,P0409,2026-01-01,242,46,108,180,50
INV0000410,P0410,2026-01-01,86,263,103,246,50
INV0000411,P0411,2026-01-01,389,52,113,328,50
INV0000412,P0412,2026-01-01,422,24,169,277,76
INV0000413,P0413,2026-01-01,140,90,126,104,56
INV0000414,P0414,2026-01-01,267,204,147,324,66
INV0000415,P0415,2026-01-01,65,42,31,76,50
INV0000416,P0416,2026-01-01,64,334,156,242,70
INV0000417,P0417,2026-01-01,519,26,64,481,50
INV0000418,P0418,2026-01-01,504,27,60,471,50
INV0000419,P0419,2026-01-01,642,220,12,850,50
INV0000420,P0420,2026-01-01,70,60,133,0,59
INV0000421,P0421,2026-01-01,61,275,88,248,50
INV0000422,P0422,2026-01-01,433,143,138,438,62
INV0000423,P0423,2026-01-01,338,168,17,489,50
INV0000424,P0424,2026-01-01,224,223,7,440,50
INV0000425,P0425,2026-01-01,693,389,24,1058,50
INV0000426,P0426,2026-01-01,486,187,82,591,50
INV0000427,P0427,2026-01-01,119,361,23,457,50
INV0000428,P0428,2026-01-01,577,0,101,476,50
INV0000429,P0429,2026-01-01,276,47,13,310,50
INV0000430,P0430,2026-01-01,315,352,132,535,59
INV0000431,P0431,2026-01-01,276,206,22,460,50
INV0000432,P0432,2026-01-01,454,362,75,741,50
INV0000433,P0433,2026-01-01,557,182,179,560,80
INV0000434,P0434,2026-01-01,391,361,12,740,50
INV0000435,P0435,2026-01-01,281,358,150,489,67
INV0000436,P0436,2026-01-01,480,398,168,710,75
INV0000437,P0437,2026-01-01,376,242,130,488,58
INV0000438,P0438,2026-01-01,535,119,45,609,50
INV0000439,P0439,2026-01-01,106,369,105,370,50
INV0000440,P0440,2026-01-01,627,363,24,966,50
INV0000441,P0441,2026-01-01,317,191,155,353,69
INV0000442,P0442,2026-01-01,192,182,37,337,50
INV0000443,P0443,2026-01-01,333,395,168,560,75
INV0000444,P0444,2026-01-01,231,116,62,285,50
INV0000445,P0445,2026-01-01,497,355,176,676,79
INV0000446,P0446,2026-01-01,91,92,153,30,68
INV0000447,P0447,2026-01-01,135,365,28,472,50
INV0000448,P0448,2026-01-01,632,351,56,927,50
INV0000449,P0449,2026-01-01,543,397,128,812,57
INV0000450,P0450,2026-01-01,118,179,117,180,52
INV0000451,P0451,2026-01-01,258,61,171,148,76
INV0000452,P0452,2026-01-01,378,86,38,426,50
INV0000453,P0453,2026-01-01,126,99,96,129,50
INV0000454,P0454,2026-01-01,73,28,73,28,50
INV0000455,P0455,2026-01-01,90,57,179,0,80
INV0000456,P0456,2026-01-01,164,44,48,160,50
INV0000457,P0457,2026-01-01,464,246,166,544,74
INV0000458,P0458,2026-01-01,411,104,62,453,50
INV0000459,P0459,2026-01-01,618,57,107,568,50
INV0000460,P0460,2026-01-01,347,378,6,719,50
INV0000461,P0461,2026-01-01,297,11,52,256,50
INV0000462,P0462,2026-01-01,67,399,76,390,50
INV0000463,P0463,2026-01-01,539,106,124,521,55
INV0000464,P0464,2026-01-01,424,72,153,343,68
INV0000465,P0465,2026-01-01,574,82,69,587,50
INV0000466,P0466,2026-01-01,342,380,61,661,50
INV0000467,P0467,2026-01-01,624,302,104,822,50
INV0000468,P0468,2026-01-01,561,336,43,854,50
INV0000469,P0469,2026-01-01,543,127,11,659,50
INV0000470,P0470,2026-01-01,511,246,126,631,56
INV0000471,P0471,2026-01-01,373,157,52,478,50
INV0000472,P0472,2026-01-01,265,217,121,361,54
INV0000473,P0473,2026-01-01,89,90,120,59,54
INV0000474,P0474,2026-01-01,684,92,93,683,50
INV0000475,P0475,2026-01-01,277,111,28,360,50
INV0000476,P0476,2026-01-01,451,236,155,532,69
INV0000477,P0477,2026-01-01,605,144,33,716,50
INV0000478,P0478,2026-01-01,388,188,123,453,55
INV0000479,P0479,2026-01-01,106,144,34,216,50
INV0000480,P0480,2026-01-01,624,38,164,498,73
INV0000481,P0481,2026-01-01,192,243,113,322,50
INV0000482,P0482,2026-01-01,322,366,119,569,53
INV0000483,P0483,2026-01-01,441,351,71,721,50
INV0000484,P0484,2026-01-01,607,93,84,616,50
INV0000485,P0485,2026-01-01,438,113,48,503,50
INV0000486,P0486,2026-01-01,210,357,48,519,50
INV0000487,P0487,2026-01-01,691,197,57,831,50
INV0000488,P0488,2026-01-01,300,251,97,454,50
INV0000489,P0489,2026-01-01,681,340,23,998,50
INV0000490,P0490,2026-01-01,365,371,123,613,55
INV0000491,P0491,2026-01-01,543,389,169,763,76
INV0000492,P0492,2026-01-01,213,96,58,251,50
INV0000493,P0493,2026-01-01,559,200,80,679,50
INV0000494,P0494,2026-01-01,390,87,10,467,50
INV0000495,P0495,2026-01-01,342,243,102,483,50
INV0000496,P0496,2026-01-01,453,25,81,397,50
INV0000497,P0497,2026-01-01,647,211,168,690,75
INV0000498,P0498,2026-01-01,154,70,94,130,50
INV0000499,P0499,2026-01-01,76,16,36,56,50
INV0000500,P0500,2026-01-01,579,285,86,778,50
INV0000501,P0001,2026-02-01,288,260,146,402,65
INV0000502,P0002,2026-02-01,585,118,129,574,58
INV0000503,P0003,2026-02-01,55,305,95,265,50
INV0000504,P0004,2026-02-01,594,363,60,897,50
INV0000505,P0005,2026-02-01,301,14,122,193,54
INV0000506,P0006,2026-02-01,258,384,72,570,50
INV0000507,P0007,2026-02-01,624,179,68,735,50
INV0000508,P0008,2026-02-01,81,227,75,233,50
INV0000509,P0009,2026-02-01,248,399,52,595,50
INV0000510,P0010,2026-02-01,470,163,148,485,66
INV0000511,P0011,2026-02-01,145,253,13,385,50
INV0000512,P0012,2026-02-01,139,287,170,256,76
INV0000513,P0013,2026-02-01,339,134,115,358,51
INV0000514,P0014,2026-02-01,670,183,58,795,50
INV0000515,P0015,2026-02-01,661,36,166,531,74
