customer_id,customer_name,gender,age,city,state,customer_segment,acquisition_channel,registration_date
C00040,Customer 40,Male,27,Howrah,West Bengal,At-Risk,Google Ads,2024-10-25
C00041,Customer 41,Female,37,Madurai,Tamil Nadu,One-Time,Google Ads,2024-05-15
C00042,Customer 42,Male,65,Lucknow,Uttar Pradesh,At-Risk,Meta Ads,2024-11-01
C00043,Customer 43,Other,28,Udaipur,Rajasthan,New,Organic Search,2025-08-10
C00044,Customer 44,Female,63,Bengaluru,Karnataka,Loyal,Instagram,2025-03-31
C00045,Customer 45,Male,31,Kanpur,Uttar Pradesh,Loyal,Google Ads,2024-02-29
C00046,Customer 46,Male,23,Lucknow,Uttar Pradesh,At-Risk,Marketplace,2025-12-02
C00047,Customer 47,Female,52,Chennai,Tamil Nadu,New,Google Ads,2024-10-16
C00048,Customer 48,Male,39,Mangaluru,Karnataka,One-Time,Meta Ads,2024-06-21
C00049,Customer 49,Male,53,Howrah,West Bengal,Loyal,Influencer,2025-09-21
C00050,Customer 50,Female,65,Mumbai,Maharashtra,Dormant,Organic Search,2025-10-30
C00051,Customer 51,Female,25,Mumbai,Maharashtra,At-Risk,Meta Ads,2026-01-09
C00052,Customer 52,Female,44,Hyderabad,Telangana,At-Risk,Marketplace,2024-01-03
C00053,Customer 53,Female,30,Lucknow,Uttar Pradesh,Loyal,Email,2024-12-14
C00054,Customer 54,Female,41,Howrah,West Bengal,Loyal,Google Ads,2024-08-24
C00055,Customer 55,Female,30,Jaipur,Rajasthan,At-Risk,Google Ads,2025-06-06
C00056,Customer 56,Female,27,Lucknow,Uttar Pradesh,At-Risk,Marketplace,2026-05-27
C00057,Customer 57,Male,42,Delhi,Delhi,At-Risk,Meta Ads,2024-04-17
C00058,Customer 58,Female,38,Vadodara,Gujarat,At-Risk,Affiliate,2025-08-13
C00059,Customer 59,Female,54,Mumbai,Maharashtra,At-Risk,Google Ads,2025-02-03
C00060,Customer 60,Female,41,Pune,Maharashtra,New,Google Ads,2025-02-20
C00061,Customer 61,Male,46,Howrah,West Bengal,One-Time,Influencer,2026-04-27
C00062,Customer 62,Female,52,Delhi,Delhi,Dormant,Marketplace,2025-10-20
C00063,Customer 63,Female,20,Ahmedabad,Gujarat,Loyal,Google Ads,2024-03-26
C00064,Customer 64,Male,39,Kanpur,Uttar Pradesh,New,Google Ads,2025-01-26
C00065,Customer 65,Male,43,Howrah,West Bengal,Loyal,Organic Search,2025-10-30
C00066,Customer 66,Male,48,Vadodara,Gujarat,Loyal,Email,2024-04-06
C00067,Customer 67,Male,19,Vadodara,Gujarat,At-Risk,Instagram,2025-03-31
C00068,Customer 68,Female,22,Bengaluru,Karnataka,At-Risk,Meta Ads,2025-03-23
C00069,Customer 69,Female,58,Warangal,Telangana,New,Marketplace,2024-03-07
C00070,Customer 70,Male,54,Madurai,Tamil Nadu,Loyal,Google Ads,2026-05-09
C00071,Customer 71,Male,38,Pune,Maharashtra,New,Meta Ads,2024-11-29
C00072,Customer 72,Male,18,Madurai,Tamil Nadu,At-Risk,Meta Ads,2024-09-02
C00073,Customer 73,Male,30,Noida,Uttar Pradesh,New,Google Ads,2024-03-21
C00074,Customer 74,Female,48,Nagpur,Maharashtra,Loyal,Email,2024-02-17
C00075,Customer 75,Male,50,Nizamabad,Telangana,Loyal,Meta Ads,2024-06-25
C00076,Customer 76,Male,57,Mysuru,Karnataka,Loyal,Organic Search,2025-10-29
C00077,Customer 77,Female,44,Mangaluru,Karnataka,Loyal,Instagram,2024-08-29
C00078,Customer 78,Female,54,Howrah,West Bengal,VIP,Google Ads,2025-02-12
C00079,Customer 79,Female,29,Ahmedabad,Gujarat,Loyal,Influencer,2025-08-18
C00080,Customer 80,Female,25,Noida,Uttar Pradesh,New,Email,2024-10-28
C00081,Customer 81,Male,34,Howrah,West Bengal,One-Time,Meta Ads,2025-01-01
C00082,Customer 82,Female,58,Chennai,Tamil Nadu,Loyal,Google Ads,2025-03-14
C00083,Customer 83,Male,60,Lucknow,Uttar Pradesh,One-Time,Organic Search,2026-03-24
C00084,Customer 84,Female,21,Pune,Maharashtra,At-Risk,Affiliate,2026-04-16
C00085,Customer 85,Female,27,Warangal,Telangana,One-Time,Organic Search,2024-09-17
C00086,Customer 86,Male,21,Warangal,Telangana,At-Risk,Affiliate,2024-08-13
C00087,Customer 87,Male,54,Jodhpur,Rajasthan,New,Google Ads,2024-12-29
C00088,Customer 88,Male,57,Delhi,Delhi,At-Risk,Marketplace,2024-06-29
C00089,Customer 89,Male,62,Mumbai,Maharashtra,New,Meta Ads,2025-05-26
C00090,Customer 90,Male,26,New Delhi,Delhi,Loyal,Meta Ads,2025-04-25
C00091,Customer 91,Female,42,Nagpur,Maharashtra,One-Time,Email,2025-02-23
C00092,Customer 92,Male,39,Jodhpur,Rajasthan,Loyal,Google Ads,2025-02-20
C00093,Customer 93,Female,64,Madurai,Tamil Nadu,New,Instagram,2026-02-12
C00094,Customer 94,Male,62,Coimbatore,Tamil Nadu,At-Risk,Meta Ads,2024-05-14
C00095,Customer 95,Male,58,Bengaluru,Karnataka,Loyal,Organic Search,2025-11-20
C00096,Customer 96,Female,28,Kolkata,West Bengal,Dormant,Organic Search,2025-06-06
C00097,Customer 97,Male,34,Madurai,Tamil Nadu,VIP,Organic Search,2025-12-14
C00098,Customer 98,Male,55,Nizamabad,Telangana,Loyal,Instagram,2025-06-01
C00099,Customer 99,Female,47,Mumbai,Maharashtra,At-Risk,Meta Ads,2025-11-24
C00100,Customer 100,Male,46,Kozhikode,Kerala,New,Affiliate,2025-06-28
C00101,Customer 101,Male,21,Thiruvananthapuram,Kerala,Loyal,Email,2025-10-02
C00102,Customer 102,Female,37,Jaipur,Rajasthan,One-Time,Email,2025-01-07
C00103,Customer 103,Male,64,Mysuru,Karnataka,VIP,Google Ads,2026-03-15
C00104,Customer 104,Male,40,Kochi,Kerala,New,Meta Ads,2024-09-18
C00105,Customer 105,Female,60,Lucknow,Uttar Pradesh,One-Time,Instagram,2025-10-07
C00106,Customer 106,Female,37,Udaipur,Rajasthan,Loyal,Organic Search,2024-10-22
C00107,Customer 107,Male,58,Madurai,Tamil Nadu,Loyal,Influencer,2025-12-13
C00108,Customer 108,Male,57,Mysuru,Karnataka,New,Marketplace,2026-01-20
C00109,Customer 109,Male,47,Nizamabad,Telangana,Loyal,Instagram,2024-06-15
C00110,Customer 110,Male,57,Kozhikode,Kerala,At-Risk,Instagram,2025-07-16
C00111,Customer 111,Male,20,New Delhi,Delhi,New,Affiliate,2025-04-20
C00112,Customer 112,Female,35,Mumbai,Maharashtra,One-Time,Meta Ads,2024-12-24
C00113,Customer 113,Female,22,Mysuru,Karnataka,Dormant,Email,2024-09-08
C00114,Customer 114,Male,51,Ahmedabad,Gujarat,Dormant,Organic Search,2025-07-05
C00115,Customer 115,Female,32,Nagpur,Maharashtra,New,Meta Ads,2026-01-11
C00116,Customer 116,Other,43,Noida,Uttar Pradesh,Loyal,Meta Ads,2024-11-10
C00117,Customer 117,Female,58,Udaipur,Rajasthan,New,Meta Ads,2024-10-27
C00118,Customer 118,Female,53,Udaipur,Rajasthan,Dormant,Organic Search,2026-02-15
C00119,Customer 119,Male,49,Coimbatore,Tamil Nadu,Loyal,Meta Ads,2025-11-10
C00120,Customer 120,Female,20,Howrah,West Bengal,One-Time,Meta Ads,2025-10-16
C00121,Customer 121,Female,47,Vadodara,Gujarat,One-Time,Google Ads,2025-06-16
C00122,Customer 122,Male,34,Howrah,West Bengal,Loyal,Affiliate,2024-03-31
C00123,Customer 123,Male,65,Hyderabad,Telangana,New,Marketplace,2024-05-15
C00124,Customer 124,Female,34,Coimbatore,Tamil Nadu,At-Risk,Marketplace,2024-02-20
C00125,Customer 125,Female,53,Nizamabad,Telangana,Loyal,Affiliate,2024-10-09
C00126,Customer 126,Male,46,Delhi,Delhi,Loyal,Google Ads,2024-01-31
C00127,Customer 127,Male,34,Mysuru,Karnataka,At-Risk,Google Ads,2025-02-28
C00128,Customer 128,Female,27,Mumbai,Maharashtra,New,Email,2024-01-25
C00129,Customer 129,Female,30,Hyderabad,Telangana,New,Email,2026-06-14
C00130,Customer 130,Male,43,Surat,Gujarat,One-Time,Organic Search,2025-03-23
C00131,Customer 131,Female,60,Pune,Maharashtra,At-Risk,Meta Ads,2024-01-12
C00132,Customer 132,Male,65,Kozhikode,Kerala,New,Marketplace,2024-06-11
C00133,Customer 133,Female,33,Ahmedabad,Gujarat,At-Risk,Meta Ads,2024-06-18
C00134,Customer 134,Male,20,Mysuru,Karnataka,Loyal,Organic Search,2025-08-30
C00135,Customer 135,Male,28,Ahmedabad,Gujarat,Loyal,Influencer,2025-11-23
C00136,Customer 136,Female,42,Nizamabad,Telangana,Loyal,Email,2025-03-10
C00137,Customer 137,Male,37,Kochi,Kerala,New,Organic Search,2025-10-16
C00138,Customer 138,Female,24,New Delhi,Delhi,New,Organic Search,2024-03-25
C00139,Customer 139,Male,26,Lucknow,Uttar Pradesh,VIP,Affiliate,2024-10-09
C00140,Customer 140,Male,45,Hyderabad,Telangana,One-Time,Affiliate,2024-01-06
C00141,Customer 141,Female,30,Delhi,Delhi,Loyal,Instagram,2025-01-01
C00142,Customer 142,Male,29,Delhi,Delhi,Dormant,Instagram,2024-02-03
C00143,Customer 143,Male,36,Thiruvananthapuram,Kerala,New,Affiliate,2025-12-12
C00144,Customer 144,Female,61,Vadodara,Gujarat,Loyal,Organic Search,2025-04-25
C00145,Customer 145,Female,58,New Delhi,Delhi,One-Time,Organic Search,2025-11-08
C00146,Customer 146,Male,33,Bengaluru,Karnataka,New,Instagram,2025-06-11
C00147,Customer 147,Female,54,Mysuru,Karnataka,Dormant,Meta Ads,2024-02-03
C00148,Customer 148,Male,63,Delhi,Delhi,Dormant,Instagram,2024-11-13
C00149,Customer 149,Female,31,Coimbatore,Tamil Nadu,One-Time,Marketplace,2024-01-11
C00150,Customer 150,Male,18,Hyderabad,Telangana,Dormant,Meta Ads,2024-03-12
C00151,Customer 151,Female,29,Kanpur,Uttar Pradesh,New,Meta Ads,2026-04-26
C00152,Customer 152,Female,57,Kozhikode,Kerala,Dormant,Google Ads,2026-04-21
C00153,Customer 153,Male,23,Mumbai,Maharashtra,At-Risk,Email,2024-04-17
C00154,Customer 154,Male,30,Surat,Gujarat,New,Meta Ads,2024-12-31
C00155,Customer 155,Female,63,Warangal,Telangana,Loyal,Organic Search,2024-09-17
C00156,Customer 156,Male,27,Kolkata,West Bengal,At-Risk,Google Ads,2025-01-21
C00157,Customer 157,Male,41,Bengaluru,Karnataka,One-Time,Meta Ads,2025-07-02
C00158,Customer 158,Female,60,Howrah,West Bengal,One-Time,Google Ads,2024-12-09
C00159,Customer 159,Male,58,Jodhpur,Rajasthan,Loyal,Google Ads,2025-12-31
C00160,Customer 160,Male,32,Kanpur,Uttar Pradesh,New,Affiliate,2024-02-23
C00161,Customer 161,Female,29,Warangal,Telangana,New,Marketplace,2025-06-09
C00162,Customer 162,Male,46,Thiruvananthapuram,Kerala,New,Affiliate,2025-10-01
C00163,Customer 163,Male,33,Nagpur,Maharashtra,VIP,Influencer,2025-05-14
C00164,Customer 164,Female,53,Hyderabad,Telangana,One-Time,Google Ads,2025-08-21
C00165,Customer 165,Male,50,Surat,Gujarat,Loyal,Marketplace,2025-07-11
C00166,Customer 166,Female,38,Chennai,Tamil Nadu,New,Email,2024-05-28
C00167,Customer 167,Male,37,Lucknow,Uttar Pradesh,New,Affiliate,2025-12-11
C00168,Customer 168,Male,22,Kanpur,Uttar Pradesh,Loyal,Organic Search,2024-08-29
C00169,Customer 169,Female,51,Bengaluru,Karnataka,New,Meta Ads,2024-06-09
C00170,Customer 170,Female,62,Thiruvananthapuram,Kerala,Loyal,Meta Ads,2025-05-07
C00171,Customer 171,Female,60,Mysuru,Karnataka,One-Time,Google Ads,2025-07-25
C00172,Customer 172,Male,49,Delhi,Delhi,Loyal,Instagram,2024-12-05
C00173,Customer 173,Male,52,Mysuru,Karnataka,One-Time,Email,2024-02-24
C00174,Customer 174,Male,60,Kozhikode,Kerala,At-Risk,Marketplace,2026-06-17
C00175,Customer 175,Male,28,Nagpur,Maharashtra,New,Google Ads,2026-01-01
C00176,Customer 176,Male,54,Nizamabad,Telangana,At-Risk,Organic Search,2025-03-22
C00177,Customer 177,Female,22,Madurai,Tamil Nadu,One-Time,Email,2024-11-10
C00178,Customer 178,Male,55,Kochi,Kerala,New,Google Ads,2026-03-05
C00179,Customer 179,Female,28,Kochi,Kerala,Loyal,Meta Ads,2024-11-15
C00180,Customer 180,Female,46,Jodhpur,Rajasthan,New,Instagram,2024-07-03
C00181,Customer 181,Female,18,Thiruvananthapuram,Kerala,Loyal,Email,2024-08-14
C00182,Customer 182,Male,18,Kozhikode,Kerala,At-Risk,Meta Ads,2025-05-15
C00183,Customer 183,Male,49,Delhi,Delhi,At-Risk,Google Ads,2025-11-03
C00184,Customer 184,Female,60,Bengaluru,Karnataka,Loyal,Meta Ads,2024-10-16
C00185,Customer 185,Male,23,Lucknow,Uttar Pradesh,Dormant,Influencer,2024-06-22
C00186,Customer 186,Male,57,Kolkata,West Bengal,Loyal,Affiliate,2026-04-21
C00187,Customer 187,Male,54,Coimbatore,Tamil Nadu,New,Meta Ads,2024-03-28
C00188,Customer 188,Female,52,Warangal,Telangana,At-Risk,Organic Search,2025-05-11
C00189,Customer 189,Female,31,Jaipur,Rajasthan,New,Marketplace,2024-06-08
C00190,Customer 190,Female,60,Mangaluru,Karnataka,New,Google Ads,2025-08-11
C00191,Customer 191,Male,47,Kochi,Kerala,New,Google Ads,2024-12-03
C00192,Customer 192,Male,26,Mysuru,Karnataka,One-Time,Google Ads,2024-03-09
C00193,Customer 193,Female,60,Nagpur,Maharashtra,One-Time,Google Ads,2024-05-30
C00194,Customer 194,Female,31,Lucknow,Uttar Pradesh,One-Time,Affiliate,2025-03-14
C00195,Customer 195,Male,41,Nagpur,Maharashtra,Loyal,Affiliate,2024-05-10
C00196,Customer 196,Male,25,Nagpur,Maharashtra,VIP,Email,2025-06-05
C00197,Customer 197,Female,36,Vadodara,Gujarat,Dormant,Meta Ads,2025-12-21
C00198,Customer 198,Male,49,Lucknow,Uttar Pradesh,New,Affiliate,2024-09-18
C00199,Customer 199,Other,61,Pune,Maharashtra,New,Meta Ads,2026-04-23
C00200,Customer 200,Male,39,Bengaluru,Karnataka,Loyal,Google Ads,2025-10-24
C00201,Customer 201,Female,47,Noida,Uttar Pradesh,New,Google Ads,2024-03-17
C00202,Customer 202,Male,22,Kozhikode,Kerala,One-Time,Influencer,2025-02-23
C00203,Customer 203,Male,29,Delhi,Delhi,Loyal,Organic Search,2025-05-13
C00204,Customer 204,Male,45,Nagpur,Maharashtra,At-Risk,Organic Search,2025-05-20
C00205,Customer 205,Female,19,Warangal,Telangana,New,Organic Search,2025-02-18
C00206,Customer 206,Female,34,Nagpur,Maharashtra,Loyal,Google Ads,2024-11-20
C00207,Customer 207,Female,20,Nagpur,Maharashtra,Loyal,Instagram,2025-05-27
C00208,Customer 208,Female,41,Howrah,West Bengal,At-Risk,Affiliate,2025-08-31
C00209,Customer 209,Male,30,Nagpur,Maharashtra,One-Time,Marketplace,2026-02-02
C00210,Customer 210,Female,30,Delhi,Delhi,VIP,Email,2024-04-02
C00211,Customer 211,Male,40,Jaipur,Rajasthan,VIP,Google Ads,2024-05-04
C00212,Customer 212,Male,25,Ahmedabad,Gujarat,New,Marketplace,2025-03-31
C00213,Customer 213,Male,54,Nagpur,Maharashtra,Loyal,Instagram,2025-01-16
C00214,Customer 214,Female,39,Lucknow,Uttar Pradesh,Loyal,Meta Ads,2026-03-17
C00215,Customer 215,Female,61,Jaipur,Rajasthan,One-Time,Google Ads,2025-05-31
C00216,Customer 216,Female,28,Udaipur,Rajasthan,Loyal,Google Ads,2024-07-30
C00217,Customer 217,Male,20,Pune,Maharashtra,Loyal,Organic Search,2026-02-04
C00218,Customer 218,Female,37,Nagpur,Maharashtra,At-Risk,Organic Search,2026-02-20
C00219,Customer 219,Female,23,Kochi,Kerala,New,Meta Ads,2024-02-06
C00220,Customer 220,Female,36,Coimbatore,Tamil Nadu,Loyal,Google Ads,2026-03-07
C00221,Customer 221,Male,55,Mysuru,Karnataka,New,Email,2024-11-23
C00222,Customer 222,Male,63,New Delhi,Delhi,Loyal,Instagram,2024-07-26
C00223,Customer 223,Other,39,Kolkata,West Bengal,VIP,Meta Ads,2024-04-13
C00224,Customer 224,Female,26,Kochi,Kerala,Loyal,Meta Ads,2024-03-13
C00225,Customer 225,Female,36,Mangaluru,Karnataka,Loyal,Influencer,2024-02-23
C00226,Customer 226,Male,31,Kochi,Kerala,One-Time,Marketplace,2025-11-18
C00227,Customer 227,Female,23,Warangal,Telangana,One-Time,Meta Ads,2026-03-24
C00228,Customer 228,Female,56,Vadodara,Gujarat,VIP,Organic Search,2026-05-12
C00229,Customer 229,Male,53,Kolkata,West Bengal,New,Influencer,2025-04-04
C00230,Customer 230,Male,32,Hyderabad,Telangana,At-Risk,Google Ads,2024-08-18
C00231,Customer 231,Female,41,Mumbai,Maharashtra,Loyal,Marketplace,2026-03-10
C00232,Customer 232,Male,41,Coimbatore,Tamil Nadu,At-Risk,Email,2026-04-01
C00233,Customer 233,Female,38,Thiruvananthapuram,Kerala,One-Time,Email,2024-12-26
C00234,Customer 234,Female,54,Vadodara,Gujarat,Loyal,Email,2024-07-06
C00235,Customer 235,Female,51,Kochi,Kerala,New,Meta Ads,2026-01-25
C00236,Customer 236,Female,18,Noida,Uttar Pradesh,Dormant,Affiliate,2024-11-19
C00237,Customer 237,Female,28,New Delhi,Delhi,Loyal,Organic Search,2025-04-27
C00238,Customer 238,Male,63,Noida,Uttar Pradesh,Loyal,Google Ads,2026-03-08
C00239,Customer 239,Other,37,Warangal,Telangana,VIP,Organic Search,2024-05-29
C00240,Customer 240,Male,40,Hyderabad,Telangana,One-Time,Marketplace,2024-09-30
C00241,Customer 241,Male,54,Lucknow,Uttar Pradesh,Loyal,Influencer,2024-07-09
C00242,Customer 242,Female,54,Lucknow,Uttar Pradesh,At-Risk,Organic Search,2025-11-11
C00243,Customer 243,Female,45,Pune,Maharashtra,New,Meta Ads,2024-04-15
C00244,Customer 244,Female,62,Ahmedabad,Gujarat,Dormant,Meta Ads,2024-05-12
C00245,Customer 245,Male,46,Ahmedabad,Gujarat,At-Risk,Google Ads,2024-10-24
C00246,Customer 246,Female,60,Lucknow,Uttar Pradesh,Dormant,Affiliate,2024-12-06
C00247,Customer 247,Female,39,Ahmedabad,Gujarat,At-Risk,Affiliate,2025-11-01
C00248,Customer 248,Male,28,Chennai,Tamil Nadu,One-Time,Marketplace,2026-04-26
C00249,Customer 249,Female,23,Coimbatore,Tamil Nadu,Loyal,Google Ads,2025-06-19
C00250,Customer 250,Male,44,Chennai,Tamil Nadu,New,Marketplace,2024-07-22
C00251,Customer 251,Female,60,Kolkata,West Bengal,VIP,Marketplace,2025-08-17
C00252,Customer 252,Male,37,Lucknow,Uttar Pradesh,New,Organic Search,2025-09-23
C00253,Customer 253,Male,52,New Delhi,Delhi,At-Risk,Marketplace,2024-03-16
C00254,Customer 254,Female,43,Bengaluru,Karnataka,New,Instagram,2026-04-07
C00255,Customer 255,Female,56,Mumbai,Maharashtra,New,Meta Ads,2025-04-05
C00256,Customer 256,Male,55,Udaipur,Rajasthan,New,Google Ads,2025-12-07
C00257,Customer 257,Male,51,Kanpur,Uttar Pradesh,VIP,Google Ads,2024-02-16
C00258,Customer 258,Female,35,Hyderabad,Telangana,New,Google Ads,2026-05-03
C00259,Customer 259,Female,37,Hyderabad,Telangana,New,Organic Search,2026-05-25
C00260,Customer 260,Female,40,Surat,Gujarat,New,Meta Ads,2026-04-29
C00261,Customer 261,Female,57,Nagpur,Maharashtra,One-Time,Google Ads,2025-04-21
C00262,Customer 262,Male,47,Kanpur,Uttar Pradesh,Dormant,Google Ads,2024-04-12
C00263,Customer 263,Female,26,Mangaluru,Karnataka,Loyal,Organic Search,2025-02-10
C00264,Customer 264,Female,30,Mumbai,Maharashtra,One-Time,Marketplace,2025-06-25
C00265,Customer 265,Male,32,Thiruvananthapuram,Kerala,New,Instagram,2025-02-07
C00266,Customer 266,Male,47,Pune,Maharashtra,New,Affiliate,2025-01-19
C00267,Customer 267,Female,54,Mysuru,Karnataka,One-Time,Marketplace,2024-11-10
C00268,Customer 268,Male,25,Nagpur,Maharashtra,New,Organic Search,2025-09-06
C00269,Customer 269,Male,52,Mumbai,Maharashtra,New,Organic Search,2025-05-30
C00270,Customer 270,Female,47,Warangal,Telangana,New,Organic Search,2025-10-30
C00271,Customer 271,Female,27,Hyderabad,Telangana,One-Time,Marketplace,2024-03-13
C00272,Customer 272,Male,24,Mumbai,Maharashtra,VIP,Meta Ads,2024-08-08
C00273,Customer 273,Female,25,Hyderabad,Telangana,New,Affiliate,2026-03-01
C00274,Customer 274,Female,55,Vadodara,Gujarat,Loyal,Instagram,2025-12-20
C00275,Customer 275,Male,29,Kolkata,West Bengal,Loyal,Google Ads,2025-08-29
C00276,Customer 276,Female,27,Madurai,Tamil Nadu,At-Risk,Organic Search,2025-01-03
C00277,Customer 277,Female,38,Mangaluru,Karnataka,New,Affiliate,2025-01-20
C00278,Customer 278,Female,49,New Delhi,Delhi,At-Risk,Influencer,2025-08-14
C00279,Customer 279,Female,39,Kanpur,Uttar Pradesh,At-Risk,Marketplace,2025-11-25
C00280,Customer 280,Male,45,Lucknow,Uttar Pradesh,Dormant,Organic Search,2025-01-19
C00281,Customer 281,Female,35,Nizamabad,Telangana,At-Risk,Email,2026-03-18
C00282,Customer 282,Female,38,Mumbai,Maharashtra,New,Marketplace,2024-11-07
C00283,Customer 283,Male,46,Pune,Maharashtra,Dormant,Meta Ads,2024-10-15
C00284,Customer 284,Male,48,Mangaluru,Karnataka,At-Risk,Google Ads,2025-09-16
C00285,Customer 285,Male,53,Vadodara,Gujarat,New,Instagram,2025-12-12
C00286,Customer 286,Female,58,Chennai,Tamil Nadu,New,Organic Search,2025-05-02
C00287,Customer 287,Female,33,Nizamabad,Telangana,Dormant,Organic Search,2026-05-06
C00288,Customer 288,Male,23,Chennai,Tamil Nadu,New,Affiliate,2026-02-06
C00289,Customer 289,Female,22,Delhi,Delhi,At-Risk,Google Ads,2024-07-05
C00290,Customer 290,Female,50,Warangal,Telangana,One-Time,Affiliate,2025-12-08
C00291,Customer 291,Male,38,Lucknow,Uttar Pradesh,VIP,Organic Search,2025-12-30
C00292,Customer 292,Male,37,Nizamabad,Telangana,New,Marketplace,2026-02-20
C00293,Customer 293,Male,53,Kozhikode,Kerala,VIP,Meta Ads,2025-04-17
C00294,Customer 294,Female,50,Hyderabad,Telangana,Loyal,Organic Search,2025-11-20
C00295,Customer 295,Other,61,Lucknow,Uttar Pradesh,Dormant,Affiliate,2025-10-13
C00296,Customer 296,Female,60,Kochi,Kerala,New,Email,2026-04-05
C00297,Customer 297,Male,53,Thiruvananthapuram,Kerala,New,Google Ads,2024-09-24
C00298,Customer 298,Female,49,Noida,Uttar Pradesh,New,Google Ads,2024-05-21
C00299,Customer 299,Male,61,Kanpur,Uttar Pradesh,New,Google Ads,2025-11-20
C00300,Customer 300,Male,25,Howrah,West Bengal,Dormant,Email,2025-07-30
C00301,Customer 301,Male,63,Lucknow,Uttar Pradesh,New,Organic Search,2026-05-28
C00302,Customer 302,Male,37,Pune,Maharashtra,New,Organic Search,2024-03-15
C00303,Customer 303,Female,29,Vadodara,Gujarat,At-Risk,Organic Search,2024-02-01
C00304,Customer 304,Female,44,Delhi,Delhi,New,Google Ads,2025-03-25
C00305,Customer 305,Female,60,Lucknow,Uttar Pradesh,New,Google Ads,2025-06-30
C00306,Customer 306,Male,24,New Delhi,Delhi,Loyal,Affiliate,2026-02-14
C00307,Customer 307,Female,26,Chennai,Tamil Nadu,One-Time,Affiliate,2025-08-24
C00308,Customer 308,Female,48,Kolkata,West Bengal,At-Risk,Organic Search,2025-10-15
C00309,Customer 309,Female,50,Mysuru,Karnataka,Loyal,Organic Search,2024-12-15
C00310,Customer 310,Male,52,Pune,Maharashtra,One-Time,Marketplace,2025-06-08
