order_id,customer_id,order_date,channel,payment_method,order_status,shipping_state,shipping_city,subtotal,discount_amount,shipping_fee,tax_amount,total_amount
O000108,C09042,2025-08-22,Website,Credit Card,Delivered,Maharashtra,Mumbai,4998.61,165.77,118.0,817.65,5768.49
O000109,C00845,2025-01-10,Mobile App,UPI,Delivered,Telangana,Hyderabad,2379.42,33.17,98.28,277.11,2721.64
O000110,C00880,2025-01-08,Website,Credit Card,Delivered,Gujarat,Surat,7966.76,62.98,139.64,752.52,8795.94
O000111,C05490,2026-12-18,Website,UPI,Delivered,Rajasthan,Udaipur,9256.22,163.77,40.55,1634.46,10767.46
O000112,C05504,2026-08-09,Website,Credit Card,Delivered,West Bengal,Kolkata,7026.01,296.95,228.13,443.0,7400.19
O000113,C05189,2025-10-08,Mobile App,Wallet,Returned,Kerala,Kozhikode,29619.28,1205.63,62.05,4523.01,32998.71
O000114,C06009,2026-10-27,Website,UPI,Returned,Uttar Pradesh,Kanpur,15585.529999999999,692.52,177.58,1021.63,16092.22
O000115,C00949,2026-10-28,Mobile App,UPI,Delivered,Uttar Pradesh,Lucknow,13551.1,488.27,161.21,1454.44,14678.48
O000116,C00832,2026-11-07,Marketplace,UPI,Delivered,Gujarat,Vadodara,9954.46,407.23,163.59,482.18,10193.0
O000117,C05572,2026-01-02,Marketplace,Debit Card,Delivered,Telangana,Warangal,9220.33,49.61,65.47,1284.5,10520.69
O000118,C09252,2026-09-10,Mobile App,Credit Card,Delivered,Karnataka,Bengaluru,3770.12,122.39,72.71,379.49,4099.93
O000119,C09227,2025-01-31,Mobile App,Credit Card,Delivered,Kerala,Kozhikode,24909.23,906.24,128.37,2773.43,26904.79
O000120,C03124,2025-05-04,Marketplace,COD,Delivered,Delhi,Delhi,11026.04,147.59,221.6,1208.79,12308.84
O000121,C02842,2026-04-13,Marketplace,UPI,Delivered,Tamil Nadu,Madurai,3510.25,165.35,223.02,327.91,3895.83
O000122,C00707,2025-03-23,Website,UPI,Returned,Uttar Pradesh,Kanpur,34823.259999999995,931.07,80.17,3734.56,37706.92
O000123,C07650,2025-02-04,Marketplace,UPI,Cancelled,Rajasthan,Jaipur,3799.48,4.08,94.15,268.24,4157.79
O000124,C09592,2025-03-27,Mobile App,Credit Card,Delivered,Telangana,Warangal,7241.31,240.28,8.91,867.01,7876.95
O000125,C01875,2025-12-04,Website,UPI,Delivered,Kerala,Thiruvananthapuram,4964.06,206.6,191.25,749.27,5697.98
O000126,C02076,2025-12-25,Mobile App,Net Banking,Delivered,Gujarat,Surat,6620.66,144.52,208.21,817.06,7501.41
O000127,C00777,2026-11-17,Marketplace,UPI,Cancelled,Gujarat,Vadodara,1600.75,14.42,134.51,89.94,1810.78
O000128,C03661,2025-11-15,Website,UPI,Delivered,Maharashtra,Mumbai,3929.42,45.18,238.9,433.77,4556.91
O000129,C06941,2026-01-12,Website,COD,Delivered,Rajasthan,Udaipur,8800.2,149.12,132.15,1134.6,9917.83
O000130,C05080,2026-09-07,Website,Credit Card,Cancelled,Rajasthan,Jodhpur,13695.84,126.52,98.51,2167.7,15835.53
O000131,C07578,2026-09-06,Mobile App,UPI,Delivered,Telangana,Hyderabad,3936.6,189.2,131.34,355.92,4234.66
O000132,C02662,2025-09-15,Marketplace,Credit Card,Delivered,Tamil Nadu,Coimbatore,9530.93,177.38,223.28,614.22,10191.05
O000133,C07729,2026-06-25,Mobile App,Credit Card,Delivered,Gujarat,Ahmedabad,1518.49,25.43,162.56,123.73,1779.35
O000134,C08591,2026-10-24,Website,Debit Card,Delivered,Delhi,New Delhi,883.72,42.6,195.91,52.57,1089.6
O000135,C00477,2026-09-13,Website,UPI,Delivered,Tamil Nadu,Coimbatore,946.95,40.54,139.34,112.95,1158.7
O000136,C05258,2025-09-17,Website,Credit Card,Delivered,Tamil Nadu,Chennai,49701.86,2372.81,224.82,7516.23,55070.1
O000137,C08252,2026-07-08,Website,Debit Card,Delivered,Maharashtra,Nagpur,4094.16,173.34,229.73,503.27,4653.82
O000138,C05855,2026-07-06,Website,Credit Card,Delivered,Telangana,Warangal,2923.75,69.75,45.69,509.25,3408.94
O000139,C03377,2025-07-09,Website,Net Banking,Delivered,Telangana,Hyderabad,43918.93,1076.51,80.91,6060.24,48983.57
O000140,C06916,2026-05-12,Website,UPI,Delivered,Uttar Pradesh,Kanpur,29035.13,288.86,114.59,2459.51,31320.37
O000141,C07388,2025-03-11,Marketplace,Net Banking,Returned,Maharashtra,Mumbai,17563.3,611.45,61.03,1827.8,18840.68
O000142,C09475,2025-08-04,Website,Credit Card,Delivered,Tamil Nadu,Madurai,18900.01,392.96,129.39,2583.05,21219.49
O000143,C08587,2025-01-23,Mobile App,Debit Card,Delivered,Maharashtra,Mumbai,4491.5,169.61,150.97,431.86,4904.72
O000144,C07536,2025-04-12,Website,Credit Card,Delivered,Kerala,Thiruvananthapuram,27520.65,590.19,67.3,2960.72,29958.48
O000145,C02583,2025-03-25,Website,UPI,Delivered,Telangana,Hyderabad,6246.46,273.99,116.03,604.41,6692.91
O000146,C01884,2026-11-30,Mobile App,Debit Card,Delivered,Rajasthan,Udaipur,38484.64,1219.65,94.26,3822.05,41181.3
O000147,C00773,2025-05-07,Mobile App,Net Banking,Delivered,Gujarat,Ahmedabad,2301.41,84.56,230.37,197.33,2644.55
O000148,C07562,2025-02-28,Website,Debit Card,Delivered,Karnataka,Mysuru,20966.76,276.43,72.35,2659.92,23422.6
O000149,C03597,2026-07-16,Mobile App,COD,Delivered,Uttar Pradesh,Kanpur,14197.74,562.94,15.28,1215.78,14865.86
O000150,C05607,2026-04-25,Website,UPI,Delivered,Telangana,Warangal,8372.9,175.42,151.3,755.81,9104.59
O000151,C01864,2026-04-16,Mobile App,Credit Card,Delivered,Delhi,Delhi,31750.32,710.95,202.34,4941.36,36183.07
O000152,C08970,2026-10-28,Marketplace,Debit Card,Delivered,Gujarat,Surat,3749.91,23.84,113.77,437.65,4277.49
O000153,C08106,2026-05-09,Mobile App,COD,Delivered,Telangana,Nizamabad,12865.6,635.96,149.39,1624.35,14003.38
O000154,C09506,2026-05-11,Marketplace,Debit Card,Delivered,West Bengal,Kolkata,4369.57,49.98,95.71,282.11,4697.41
O000155,C05855,2025-12-06,Mobile App,COD,Delivered,Telangana,Warangal,5760.15,136.46,86.84,503.05,6213.58
O000156,C09415,2026-02-22,Marketplace,Wallet,Delivered,Uttar Pradesh,Noida,56144.9,2134.94,225.54,3717.27,57952.77
O000157,C04481,2026-07-28,Website,Wallet,Delivered,Delhi,New Delhi,12794.13,569.1,15.67,1057.3,13298.0
O000158,C06367,2025-10-09,Website,Credit Card,Returned,Tamil Nadu,Madurai,9371.55,449.96,66.15,1346.15,10333.89
O000159,C07609,2025-01-30,Mobile App,Credit Card,Returned,Karnataka,Mangaluru,19840.47,745.82,215.79,2799.06,22109.5
O000160,C07263,2025-11-18,Marketplace,UPI,Delivered,Gujarat,Ahmedabad,8375.16,214.77,3.55,1394.85,9558.79
O000161,C07343,2025-10-19,Website,COD,Returned,Uttar Pradesh,Lucknow,19083.66,744.27,6.75,2974.11,21320.25
O000162,C04021,2025-05-22,Website,Wallet,Delivered,Maharashtra,Nagpur,11710.97,178.92,248.66,1617.45,13398.16
O000163,C07582,2026-06-13,Mobile App,Credit Card,Delivered,Uttar Pradesh,Noida,4451.6,143.09,77.05,589.89,4975.45
O000164,C08308,2026-08-29,Marketplace,UPI,Delivered,West Bengal,Kolkata,20640.59,978.88,162.67,1941.96,21766.34
O000165,C02919,2025-05-03,Website,UPI,Delivered,Telangana,Nizamabad,2336.85,71.76,228.95,156.98,2651.02
O000166,C00247,2025-12-20,Mobile App,Credit Card,Delivered,Gujarat,Ahmedabad,3593.83,125.29,78.86,381.05,3928.45
O000167,C09029,2025-09-15,Website,COD,Delivered,Telangana,Nizamabad,9024.58,301.34,10.13,1389.12,10122.49
O000168,C04866,2026-02-24,Website,COD,Delivered,Maharashtra,Mumbai,6935.78,155.12,29.31,1102.19,7912.16
O000169,C00553,2025-03-16,Mobile App,COD,Delivered,Maharashtra,Mumbai,2408.93,17.96,120.77,295.72,2807.46
O000170,C08728,2026-11-22,Website,UPI,Delivered,Tamil Nadu,Coimbatore,24896.25,320.82,7.47,1232.72,25815.62
O000171,C00618,2025-02-21,Mobile App,UPI,Delivered,Karnataka,Mangaluru,14073.099999999999,45.63,77.93,1942.17,16047.57
O000172,C09466,2026-09-12,Mobile App,COD,Delivered,Maharashtra,Mumbai,4025.88,107.85,13.49,476.8,4408.32
O000173,C06587,2025-06-01,Website,COD,Cancelled,Telangana,Hyderabad,24374.17,1200.94,112.66,2140.98,25426.87
O000174,C08544,2026-08-01,Marketplace,COD,Delivered,Kerala,Kozhikode,1069.46,6.37,170.23,59.58,1292.9
O000175,C02059,2025-08-10,Website,UPI,Delivered,Maharashtra,Mumbai,2389.63,87.29,235.12,250.33,2787.79
O000176,C00159,2026-08-17,Website,Debit Card,Delivered,Rajasthan,Jodhpur,10554.85,514.98,177.61,649.23,10866.71
O000177,C02809,2026-11-11,Website,Credit Card,Returned,Maharashtra,Nagpur,4341.04,3.31,28.65,669.62,5036.0
O000178,C06764,2026-11-23,Website,UPI,Returned,West Bengal,Kolkata,5042.530000000001,247.12,247.8,707.78,5750.99
O000179,C06574,2026-10-11,Website,Wallet,Delivered,Gujarat,Vadodara,10051.119999999999,225.17,179.44,504.44,10509.83
O000180,C05994,2025-11-17,Marketplace,COD,Delivered,Kerala,Kozhikode,1727.35,14.73,103.73,235.58,2051.93
O000181,C06023,2025-11-19,Mobile App,Debit Card,Delivered,Maharashtra,Nagpur,1840.97,46.01,231.87,155.85,2182.68
O000182,C00078,2026-12-03,Website,Debit Card,Cancelled,West Bengal,Howrah,8759.81,338.32,88.79,1298.17,9808.45
O000183,C04632,2026-10-28,Mobile App,Debit Card,Delivered,Tamil Nadu,Coimbatore,11584.32,490.07,29.63,1321.73,12445.61
O000184,C02922,2025-12-22,Marketplace,Wallet,Delivered,Telangana,Warangal,6662.73,233.1,48.49,729.94,7208.06
O000185,C08868,2025-11-01,Website,UPI,Delivered,Tamil Nadu,Madurai,17258.28,523.38,98.34,1102.91,17936.15
O000186,C00603,2025-03-16,Website,Credit Card,Delivered,Kerala,Kochi,23098.86,388.28,195.04,3922.78,26828.4
O000187,C02660,2025-10-10,Website,Credit Card,Delivered,Maharashtra,Nagpur,15932.05,144.77,133.3,1730.13,17650.71
O000188,C05349,2025-12-14,Website,Credit Card,Delivered,West Bengal,Howrah,11629.880000000001,161.44,56.81,937.71,12462.96
O000189,C08612,2026-09-19,Marketplace,UPI,Delivered,Rajasthan,Jodhpur,10798.94,529.19,143.63,1594.05,12007.43
O000190,C06648,2025-09-13,Marketplace,UPI,Delivered,Telangana,Nizamabad,6221.6,256.72,56.75,411.04,6432.67
O000191,C01968,2025-08-27,Website,Credit Card,Cancelled,Uttar Pradesh,Lucknow,25042.82,582.92,81.33,1814.5,26355.73
O000192,C07103,2025-01-22,Website,UPI,Delivered,Gujarat,Ahmedabad,10465.720000000001,449.45,245.13,1110.96,11372.36
O000193,C08222,2025-02-01,Marketplace,Credit Card,Delivered,Uttar Pradesh,Kanpur,2502.21,105.31,11.62,355.72,2764.24
O000194,C01036,2026-08-31,Mobile App,UPI,Returned,West Bengal,Howrah,10008.58,113.63,210.8,886.76,10992.51
O000195,C06999,2025-05-08,Website,UPI,Delivered,Uttar Pradesh,Kanpur,5509.38,61.22,172.13,398.92,6019.21
O000196,C05087,2026-12-12,Website,UPI,Delivered,Uttar Pradesh,Noida,4847.88,19.93,217.93,694.62,5740.5
O000197,C07362,2025-02-18,Website,UPI,Returned,Uttar Pradesh,Lucknow,10288.72,241.13,205.83,627.73,10881.15
O000198,C03924,2026-08-30,Mobile App,COD,Delivered,Kerala,Kochi,26518.73,205.27,199.94,3742.8,30256.2
O000199,C03455,2025-04-01,Website,UPI,Delivered,Kerala,Kozhikode,6279.15,192.83,215.11,619.13,6920.56
O000200,C05161,2026-04-15,Website,UPI,Delivered,Kerala,Kozhikode,2915.58,138.41,101.01,354.47,3232.65
O000201,C09489,2026-07-21,Website,COD,Delivered,Kerala,Thiruvananthapuram,2164.0,74.13,85.91,312.78,2488.56
O000202,C08400,2025-06-26,Website,UPI,Delivered,Uttar Pradesh,Noida,314.86,14.55,130.99,25.47,456.77
O000203,C05403,2026-02-19,Website,Debit Card,Delivered,Tamil Nadu,Coimbatore,16641.0,298.87,78.18,1239.67,17659.98
O000204,C09460,2026-08-09,Mobile App,UPI,Delivered,Kerala,Thiruvananthapuram,10586.82,68.13,97.56,1744.46,12360.71
O000205,C05171,2025-05-13,Marketplace,COD,Returned,Rajasthan,Jaipur,11978.26,512.39,72.63,710.71,12249.21
O000206,C00532,2026-01-18,Mobile App,Wallet,Delivered,Rajasthan,Jodhpur,3591.6,125.74,121.92,289.93,3877.71
O000207,C08216,2026-01-27,Website,COD,Delivered,Telangana,Hyderabad,27262.71,755.64,81.02,2289.04,28877.13
O000208,C02720,2026-07-30,Website,Credit Card,Delivered,Gujarat,Ahmedabad,33253.07,654.69,65.47,5491.47,38155.32
O000209,C05148,2025-10-10,Website,Debit Card,Delivered,Delhi,New Delhi,7127.91,78.88,93.69,531.15,7673.87
O000210,C09227,2026-04-23,Marketplace,Credit Card,Delivered,Kerala,Kozhikode,9329.14,308.26,198.58,1488.66,10708.12
O000211,C07035,2026-12-02,Website,Wallet,Delivered,Maharashtra,Pune,13377.36,555.43,22.08,1254.83,14098.84
O000212,C06308,2026-06-13,Mobile App,UPI,Delivered,Uttar Pradesh,Noida,2236.01,45.66,159.46,127.17,2476.98
O000213,C08333,2025-01-15,Website,UPI,Delivered,Telangana,Nizamabad,19024.04,503.06,54.91,2344.13,20920.02
O000214,C07133,2025-04-27,Website,Credit Card,Delivered,Maharashtra,Pune,1331.08,23.24,235.18,185.68,1728.7
